Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,18.4,3.4,7.2,.477,0.6,2.0,.310,2.8,5.2,.541,.520,1.0,1.7,.583,2.2,3.8,6.0,2.0,0.6,0.4,1.3,1.8,8.5,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,33.5,8.3,16.1,.514,0.1,0.2,.333,8.2,15.9,.516,.516,5.4,6.7,.808,2.0,7.6,9.6,3.9,1.2,0.9,2.4,2.6,22.0,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,21.1,2.6,5.7,.450,1.3,3.3,.380,1.3,2.4,.544,.559,0.2,0.3,.750,0.9,1.7,2.6,1.1,0.7,0.5,0.7,1.5,6.6,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,25.1,4.6,10.4,.438,1.7,5.0,.340,2.9,5.4,.528,.519,1.1,1.8,.629,1.6,4.3,5.9,2.0,0.7,0.8,1.1,1.8,11.9,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,23.4,2.6,6.2,.416,1.5,4.0,.365,1.1,2.2,.509,.534,0.4,0.7,.647,0.5,1.5,2.0,2.5,0.8,0.7,1.1,1.9,7.0,alexani01
6,Grayson Allen,SG,28,PHO,22,22,33.2,4.1,8.4,.486,2.2,4.9,.449,1.9,3.5,.538,.616,1.9,2.1,.891,0.9,3.7,4.6,2.7,0.9,0.5,1.4,2.4,12.2,allengr01
7,Jarrett Allen,C,25,CLE,23,23,29.1,5.4,8.1,.668,0.0,0.0,,5.4,8.1,.668,.668,2.1,3.1,.681,2.9,5.4,8.3,2.3,0.8,1.0,1.9,2.8,13.0,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,16.9,2.4,5.9,.410,1.4,3.3,.413,1.1,2.6,.405,.524,0.9,1.4,.600,0.5,2.1,2.6,2.1,1.1,0.4,1.0,1.4,7.1,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,23.0,2.6,5.7,.456,0.1,0.7,.105,2.5,5.0,.508,.463,1.4,2.1,.685,0.7,2.8,3.5,4.0,0.8,0.8,1.5,1.5,6.7,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,34.7,11.4,18.7,.611,0.4,1.7,.222,11.0,17.0,.651,.621,7.4,11.2,.662,2.7,8.4,11.1,5.4,1.5,1.2,3.8,2.8,30.6,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,0,4.6,0.3,0.8,.444,0.0,0.0,,0.3,0.8,.444,.444,0.0,0.0,,0.3,0.3,0.5,0.4,0.2,0.1,0.4,0.6,0.7,antetth01
12,Cole Anthony,PG,23,ORL,26,0,25.1,5.0,10.9,.459,1.4,3.7,.375,3.6,7.2,.503,.523,3.6,4.3,.847,1.0,3.2,4.2,3.6,0.7,0.5,1.9,3.0,15.0,anthoco01
13,OG Anunoby,SF,26,TOR,23,23,33.2,5.6,12.0,.469,2.3,6.3,.372,3.3,5.7,.577,.567,1.2,1.7,.692,0.9,3.1,4.0,2.5,1.0,0.6,1.7,2.4,14.7,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,0,2.2,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.6,0.6,0.3,0.1,0.0,0.0,0.0,0.0,arcidry01
15,Deni Avdija,SF,23,WAS,26,26,26.9,4.5,9.0,.498,0.9,2.7,.343,3.5,6.3,.564,.549,1.7,2.1,.815,1.1,4.4,5.5,3.9,0.8,0.3,1.5,2.3,11.5,avdijde01
16,Deandre Ayton,C,25,POR,22,22,31.6,5.8,10.4,.557,0.0,0.0,,5.8,10.4,.557,.557,1.1,1.3,.828,3.2,7.5,10.7,1.5,1.1,0.7,2.0,2.5,12.6,aytonde01
17,Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,azubuud01
18,Marvin Bagley III,C,24,DET,22,9,18.7,4.1,7.1,.573,0.0,0.2,.200,4.0,6.9,.586,.576,2.0,2.4,.830,1.9,2.9,4.7,1.1,0.1,0.6,1.3,1.6,10.2,baglema01
19,Amari Bailey,PG,19,CHO,2,0,5.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.5,1.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,2.5,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,0,5.6,0.7,1.9,.385,0.4,0.7,.600,0.3,1.1,.250,.500,0.6,0.6,1.000,0.3,1.1,1.4,0.4,0.0,0.1,0.1,0.6,2.4,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,.443,3.5,8.9,.388,5.3,10.9,.488,.530,3.6,4.2,.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7,ballla01
22,Mo Bamba,C,25,PHI,15,0,6.1,1.3,2.5,.541,0.3,0.7,.500,1.0,1.8,.556,.608,0.5,0.7,.727,1.1,1.2,2.3,0.3,0.1,0.7,0.5,0.9,3.5,bambamo01
23,Paolo Banchero,PF,21,ORL,26,26,33.7,7.5,16.0,.471,1.3,3.4,.371,6.3,12.6,.498,.511,4.3,6.3,.681,1.3,5.5,6.9,4.5,1.0,0.5,3.3,2.1,20.6,banchpa01
24,Desmond Bane,SG,25,MEM,25,25,34.4,9.0,19.4,.465,3.4,8.8,.380,5.6,10.5,.536,.552,3.1,3.6,.856,1.1,3.3,4.4,5.1,1.2,0.7,3.1,3.0,24.4,banede01
25,Dalano Banton,PG,24,BOS,12,1,7.8,1.2,2.4,.483,0.1,0.7,.125,1.1,1.8,.619,.500,0.4,0.5,.833,0.8,1.3,2.1,0.4,0.2,0.2,0.4,1.0,2.8,bantoda01
26,Dominick Barlow,PF,20,SAS,8,0,5.6,0.4,1.1,.333,0.0,0.3,.000,0.4,0.9,.429,.333,0.5,0.8,.667,0.0,1.0,1.0,0.0,0.1,0.0,0.0,0.5,1.3,barlodo01
27,Harrison Barnes,PF,31,SAC,26,26,30.6,4.0,8.2,.486,1.8,4.4,.400,2.2,3.8,.586,.593,1.8,2.2,.807,0.9,2.3,3.2,1.5,0.7,0.2,0.8,1.1,11.5,barneha02
28,Scottie Barnes,SG,22,TOR,27,27,35.0,7.8,15.8,.493,2.0,5.1,.381,5.8,10.6,.547,.555,3.1,4.1,.750,2.7,6.6,9.2,5.7,1.5,1.3,2.5,2.0,20.6,barnesc01
29,RJ Barrett,SG,23,NYK,22,22,29.2,6.3,14.8,.426,1.7,4.9,.343,4.6,9.9,.468,.483,4.2,4.9,.860,0.7,3.3,4.0,2.5,0.5,0.4,1.6,1.5,18.5,barrerj01
30,Charles Bassey,C,23,SAS,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3,bassech01
31,Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,.267,0.4,1.7,.250,0.1,0.4,.333,.367,0.1,0.3,.500,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,8,17.6,1.9,4.7,.398,0.5,1.8,.250,1.4,2.9,.492,.447,1.0,1.5,.719,0.9,2.2,3.1,0.9,0.5,0.7,0.3,0.9,5.2,bateske01
33,Nicolas Batum,PF,35,TOT,20,14,23.9,2.0,3.7,.541,1.3,2.8,.464,0.7,0.9,.778,.716,0.4,0.6,.636,0.9,2.8,3.7,2.2,0.6,0.7,0.5,1.8,5.7,batumni01
33,Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,batumni01
33,Nicolas Batum,PF,35,PHI,17,14,24.9,2.2,3.9,.561,1.4,2.9,.490,0.8,1.0,.765,.742,0.4,0.6,.636,1.1,2.8,3.9,2.2,0.5,0.5,0.5,1.8,6.2,batumni01
34,Bradley Beal,SG,30,PHO,6,6,25.2,5.2,11.5,.449,1.5,3.5,.429,3.7,8.0,.458,.514,2.8,4.0,.708,0.5,2.8,3.3,3.2,0.7,0.3,2.3,2.2,14.7,bealbr01
35,Malik Beasley,SG,27,MIL,25,25,30.2,4.3,8.9,.482,2.9,6.4,.450,1.4,2.5,.565,.644,0.3,0.5,.667,0.7,3.7,4.4,1.5,1.0,0.2,0.6,2.0,11.8,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,1,16.3,1.9,4.0,.484,0.7,1.7,.436,1.2,2.3,.519,.577,0.5,0.8,.611,0.6,1.9,2.5,0.8,0.3,0.2,0.7,1.6,5.0,beaucma01
37,Jules Bernard,SG,24,WAS,2,0,5.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,0,7.9,0.8,2.1,.368,0.8,2.0,.389,0.0,0.1,.000,.553,1.6,1.7,.933,0.1,0.8,0.9,0.8,0.2,0.2,0.1,1.1,3.9,bertada01
39,Patrick Beverley,PG,35,PHI,27,1,17.2,1.7,4.0,.421,0.6,2.0,.309,1.0,1.9,.538,.500,0.6,1.0,.654,0.7,2.0,2.8,2.3,0.5,0.3,0.6,1.7,4.6,beverpa01
40,Saddiq Bey,SF,24,ATL,27,15,31.7,4.7,10.1,.462,1.8,5.1,.350,2.9,5.0,.574,.549,1.7,2.1,.789,2.2,4.0,6.3,1.3,1.1,0.1,1.1,1.5,12.8,beysa01
41,Goga Bitadze,C,24,ORL,24,20,21.1,3.0,5.0,.597,0.0,0.2,.200,2.9,4.8,.614,.601,1.4,2.0,.708,2.3,4.0,6.3,1.8,0.7,1.7,0.8,2.3,7.4,bitadgo01
42,Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bitimon01
43,Bismack Biyombo,C,31,MEM,19,18,25.9,2.7,4.6,.586,0.0,0.0,,2.7,4.6,.586,.586,1.0,1.9,.514,2.3,4.6,6.9,1.9,0.4,1.2,1.4,3.1,6.4,biyombi01
44,Anthony Black,PG,20,ORL,24,20,19.5,2.0,4.0,.500,0.5,1.5,.314,1.5,2.5,.607,.557,0.7,1.2,.571,0.7,1.8,2.5,1.7,0.4,0.3,0.9,2.1,5.1,blackan01
45,Leaky Black,SF,24,CHO,7,0,5.7,0.7,1.1,.625,0.1,0.3,.500,0.6,0.9,.667,.688,0.0,0.0,,0.3,0.7,1.0,0.6,0.3,0.4,0.1,0.3,1.6,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,2,28.0,6.4,13.6,.469,3.4,8.3,.413,2.9,5.2,.557,.596,1.5,1.6,.925,0.4,3.0,3.4,2.6,1.4,0.3,1.2,2.6,17.6,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,7,31.4,7.3,14.6,.496,3.1,7.4,.424,4.1,7.3,.569,.603,3.5,4.6,.757,0.5,1.8,2.3,2.5,1.1,0.0,1.9,1.5,21.1,bogdabo02
48,Bol Bol,PF,24,PHO,6,0,2.5,0.3,0.5,.667,0.0,0.2,.000,0.3,0.3,1.000,.667,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.2,0.3,0.2,0.7,bolbo01
49,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,boldema01
50,Devin Booker,SG,27,PHO,18,18,35.7,9.4,19.7,.476,2.0,5.2,.383,7.4,14.5,.510,.527,7.2,7.9,.908,0.9,4.7,5.6,8.2,0.7,0.4,3.1,3.4,27.9,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,0,5.5,2.0,3.5,.571,0.5,1.5,.333,1.5,2.0,.750,.643,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.5,4.5,bostobr01
52,Chris Boucher,PF,31,TOR,25,0,14.2,2.2,4.8,.450,0.6,1.9,.340,1.5,2.9,.521,.517,1.4,1.9,.766,1.2,2.6,3.8,0.3,0.3,0.6,0.5,1.6,6.4,bouchch01
53,James Bouknight,SG,23,CHO,3,0,6.0,2.0,3.7,.545,1.7,3.3,.500,0.3,0.3,1.000,.773,0.0,0.0,,0.3,1.0,1.3,0.0,0.0,0.0,0.3,0.3,5.7,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,bouyeja01
55,Malaki Branham,SG,20,SAS,26,14,22.2,3.7,8.3,.444,1.0,3.3,.318,2.7,5.0,.527,.507,0.5,0.6,.933,0.2,1.5,1.7,2.4,0.4,0.2,1.2,1.3,9.0,branhma01
56,Christian Braun,SG,22,DEN,29,0,20.2,3.3,6.9,.478,0.7,1.8,.385,2.6,5.1,.510,.527,1.3,1.7,.755,0.8,3.0,3.8,1.8,0.4,0.3,0.8,1.7,8.6,braunch01
57,Mikal Bridges,SF,27,BRK,27,27,34.7,7.7,16.9,.457,2.2,5.9,.377,5.5,11.0,.500,.523,4.0,4.7,.852,1.0,4.4,5.4,3.7,1.0,0.4,2.4,1.6,21.7,bridgmi01
58,Miles Bridges,SF,25,CHO,15,13,36.3,7.4,15.7,.470,1.8,5.4,.333,5.6,10.3,.542,.528,3.0,3.5,.849,0.9,6.1,7.0,2.5,1.4,0.2,1.7,2.2,19.6,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,0,10.0,0.8,1.9,.440,0.2,0.8,.273,0.6,1.1,.571,.500,0.7,1.1,.643,0.8,1.4,2.2,0.5,0.4,0.0,0.3,1.0,2.6,brissos01
60,Malcolm Brogdon,PG,31,POR,19,10,27.3,5.6,13.3,.421,2.1,5.4,.388,3.5,7.8,.443,.500,2.3,2.9,.768,0.8,2.7,3.5,5.4,0.7,0.2,1.5,1.3,15.5,brogdma01
61,Armoni Brooks,PG,25,BRK,7,0,9.1,1.3,3.9,.333,1.0,2.7,.368,0.3,1.1,.250,.463,0.0,0.0,,0.6,1.1,1.7,0.4,0.0,0.1,0.1,0.1,3.6,brookar01
62,Dillon Brooks,SF,28,HOU,25,25,31.8,5.2,10.8,.483,2.0,4.8,.417,3.2,6.0,.536,.576,1.8,2.1,.830,0.8,2.8,3.6,1.6,1.0,0.0,1.8,4.0,14.2,brookdi01
63,Bruce Brown,SG,27,IND,26,26,30.8,4.5,9.7,.460,1.0,3.5,.300,3.4,6.2,.549,.514,1.9,2.4,.806,0.7,3.9,4.6,2.9,1.2,0.2,1.2,2.5,11.9,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,brownch02
65,Greg Brown III,PF,22,DAL,3,0,3.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.3,1.7,.200,0.3,0.3,0.7,0.3,0.0,0.0,0.3,0.3,1.7,browngr01
66,Jaylen Brown,SF,27,BOS,26,26,34.0,8.9,18.6,.478,2.2,6.5,.333,6.7,12.1,.556,.536,2.8,3.8,.745,0.8,4.1,4.8,3.7,1.1,0.7,2.4,2.8,22.7,brownja02
67,Kobe Brown,PF,24,LAC,17,0,9.6,0.9,2.4,.375,0.5,1.5,.308,0.4,0.8,.500,.475,0.1,0.1,.500,0.4,1.4,1.7,0.5,0.1,0.2,0.2,1.8,2.3,brownko01
68,Moses Brown,C,24,POR,5,0,7.0,1.2,2.4,.500,0.0,0.0,,1.2,2.4,.500,.500,0.0,0.4,.000,1.6,2.0,3.6,0.2,0.2,0.2,0.2,0.4,2.4,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,3,15.2,2.0,4.2,.462,1.1,2.9,.391,0.8,1.3,.621,.597,0.8,0.9,.850,0.6,2.0,2.6,1.1,0.3,0.1,0.6,0.8,5.8,browntr01
70,Jalen Brunson,PG,27,NYK,27,27,35.5,8.9,18.8,.472,3.0,6.6,.458,5.9,12.3,.480,.552,4.5,5.6,.801,0.7,3.3,4.0,5.9,1.1,0.1,2.3,2.1,25.3,brunsja01
71,Thomas Bryant,C,26,MIA,18,3,12.4,2.2,4.0,.556,0.0,0.2,.000,2.2,3.8,.580,.556,0.9,1.1,.850,1.2,2.6,3.8,0.6,0.3,0.3,0.8,1.3,5.4,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,0,8.5,0.6,1.8,.350,0.5,1.5,.353,0.1,0.3,.333,.500,0.1,0.1,1.000,0.2,1.0,1.2,0.3,0.1,0.1,0.2,0.6,1.9,bullore01
74,Alec Burks,SG,32,DET,20,0,18.0,2.6,7.9,.331,1.6,4.7,.344,1.0,3.2,.313,.433,2.5,2.8,.875,0.5,1.7,2.2,1.5,0.4,0.2,0.4,1.4,9.3,burksal01
75,Jared Butler,SG,23,WAS,13,0,7.9,1.5,2.9,.500,0.5,1.4,.333,1.0,1.5,.650,.579,0.8,1.0,.846,0.0,0.7,0.7,1.7,0.5,0.1,0.8,1.1,4.2,butleja02
76,Jimmy Butler,PF,34,MIA,23,23,34.0,6.7,14.5,.462,0.9,2.3,.377,5.8,12.2,.479,.492,7.3,8.3,.879,2.0,3.2,5.2,4.6,1.1,0.4,1.8,1.1,21.5,butleji01
77,Jamal Cain,PF,24,MIA,8,0,14.1,1.6,3.6,.448,0.5,1.9,.267,1.1,1.8,.643,.517,0.9,1.4,.636,0.6,0.9,1.5,0.1,0.8,0.3,0.3,0.8,4.6,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,27,32.6,3.7,7.9,.465,1.4,3.5,.415,2.2,4.4,.504,.556,1.7,1.9,.902,0.4,1.6,2.0,2.5,1.4,0.5,1.1,2.0,10.5,caldwke01
79,Toumani Camara,PF,23,POR,26,17,25.3,2.7,6.5,.412,0.9,3.0,.304,1.8,3.5,.505,.482,1.0,1.4,.676,2.0,2.8,4.8,1.0,1.0,0.5,1.1,2.9,7.3,camarto01
80,Clint Capela,C,29,ATL,26,26,25.8,5.0,8.6,.583,0.0,0.0,,5.0,8.6,.583,.583,1.8,2.6,.691,5.0,5.7,10.7,1.2,0.7,1.7,0.8,2.7,11.8,capelca01
81,Jevon Carter,PG,28,CHI,29,0,14.3,2.1,5.5,.377,1.2,3.6,.350,0.8,1.9,.429,.491,0.0,0.0,.000,0.1,0.6,0.7,1.2,0.5,0.2,0.6,1.2,5.4,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,6,28.3,3.3,8.2,.408,1.0,3.0,.333,2.3,5.2,.452,.469,1.5,2.7,.563,2.0,6.2,8.2,1.5,0.5,0.3,1.3,2.8,9.2,cartewe01
83,Alex Caruso,SG,29,CHI,23,11,23.2,3.4,6.3,.549,1.6,3.4,.468,1.8,2.8,.646,.677,1.1,1.5,.765,1.2,2.2,3.4,2.3,1.2,0.8,1.4,2.3,9.6,carusal01
84,Colin Castleton,C,23,LAL,4,0,7.0,1.3,2.0,.625,0.0,0.0,,1.3,2.0,.625,.625,0.5,0.5,1.000,0.8,1.0,1.8,0.8,0.0,0.0,0.0,1.3,3.0,castlco01
85,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
86,Julian Champagnie,SF,22,SAS,19,5,12.8,1.7,4.5,.384,1.3,3.4,.391,0.4,1.2,.364,.529,0.4,0.6,.727,0.3,1.2,1.5,0.8,0.4,0.6,0.7,0.8,5.2,champju02
87,Max Christie,SG,20,LAL,22,6,16.5,1.6,4.2,.387,0.6,2.0,.302,1.0,2.3,.460,.457,0.5,0.6,.714,0.1,2.3,2.5,1.0,0.4,0.2,0.7,1.4,4.3,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,19,30.8,6.1,15.2,.399,1.6,5.5,.295,4.4,9.6,.459,.453,2.9,3.5,.833,1.3,2.1,3.4,4.9,0.8,0.2,3.0,1.4,16.6,clarkjo01
90,Nic Claxton,C,24,BRK,18,18,27.1,5.2,8.0,.646,0.1,0.1,1.000,5.1,7.9,.643,.649,1.4,2.2,.641,3.2,6.0,9.2,1.4,0.4,2.5,0.9,2.7,11.8,claxtni01
91,Noah Clowney,PF,19,BRK,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,clownno01
92,Amir Coffey,SF,26,LAC,15,2,11.4,1.0,2.5,.395,0.5,1.5,.304,0.5,1.0,.533,.487,0.7,0.7,.909,0.3,1.1,1.4,0.6,0.1,0.0,0.4,1.1,3.1,coffeam01
93,John Collins,PF,26,UTA,24,22,30.3,5.4,11.2,.485,1.5,3.7,.404,3.9,7.5,.525,.552,2.0,2.7,.766,2.5,5.7,8.2,0.8,0.6,1.0,1.5,2.7,14.4,collijo01
94,Zach Collins,C,26,SAS,26,21,27.0,4.9,10.2,.481,1.2,3.8,.306,3.7,6.4,.584,.538,2.1,2.6,.809,2.0,4.0,6.0,3.4,0.6,0.6,2.5,3.3,13.0,colliza01
95,Mike Conley,PG,36,MIN,26,26,29.4,3.8,8.2,.458,2.2,5.1,.436,1.5,3.1,.494,.593,1.5,1.6,.951,0.4,2.4,2.8,6.1,0.9,0.1,1.2,1.7,11.3,conlemi01
96,Pat Connaughton,SF,31,MIL,21,0,22.1,2.0,5.0,.413,1.1,3.3,.333,1.0,1.7,.571,.524,0.4,0.6,.692,0.7,2.8,3.4,2.1,0.5,0.2,0.7,1.0,5.6,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,1,26.9,3.5,6.7,.521,1.3,3.1,.416,2.2,3.6,.611,.617,1.2,1.9,.638,0.7,3.4,4.1,1.7,1.0,0.7,1.6,1.8,9.4,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,6,17.3,1.6,3.6,.438,0.8,2.1,.365,0.8,1.5,.541,.545,0.8,1.0,.875,1.2,2.4,3.5,0.8,1.3,0.7,0.4,1.8,4.7,covinro01
98,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,covinro01
98,Robert Covington,SF,33,PHI,22,3,16.5,1.6,3.6,.450,0.8,2.0,.386,0.9,1.6,.528,.556,0.9,1.0,.909,1.2,2.4,3.6,0.6,1.2,0.7,0.5,1.8,5.0,covinro01
99,Torrey Craig,SF,33,CHI,27,7,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1,craigto01
100,Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1,crowdja01
101,Cade Cunningham,PG,22,DET,27,27,34.6,8.3,19.0,.434,1.9,5.7,.325,6.4,13.3,.481,.482,3.9,4.4,.881,0.5,3.4,3.9,7.0,1.0,0.3,4.0,2.7,22.2,cunnica01
102,Seth Curry,SG,33,DAL,21,3,12.0,1.6,4.0,.398,0.9,2.2,.404,0.7,1.7,.389,.512,0.4,0.5,.900,0.5,1.0,1.5,0.9,0.5,0.1,0.3,0.9,4.5,curryse01
103,Stephen Curry,PG,35,GSW,25,25,33.9,8.8,18.9,.464,4.8,11.6,.416,3.9,7.2,.541,.592,5.9,6.3,.936,0.6,4.2,4.7,4.4,0.7,0.3,3.4,1.8,28.2,curryst01
104,Dyson Daniels,PG,20,NOP,28,13,23.8,2.4,6.1,.398,0.7,2.7,.253,1.8,3.4,.510,.453,0.7,1.1,.667,1.0,3.3,4.3,2.9,1.4,0.4,1.1,1.8,6.3,daniedy01
105,Anthony Davis,C,30,LAL,26,26,35.3,9.1,16.6,.546,0.3,0.8,.333,8.8,15.8,.557,.554,5.6,6.9,.811,3.5,9.2,12.6,3.0,1.2,2.5,2.0,2.6,24.0,davisan02
106,Johnny Davis,SG,21,WAS,14,0,9.1,1.4,2.9,.475,0.1,0.2,.333,1.3,2.6,.486,.488,0.3,0.4,.800,0.6,0.8,1.4,0.4,0.5,0.1,0.4,0.7,3.1,davisjo06
107,Dexter Dennis,SG,24,DAL,2,0,3.5,1.0,3.0,.333,0.0,1.5,.000,1.0,1.5,.667,.333,0.0,0.5,.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,dennide01
108,DeMar DeRozan,SF,34,CHI,27,27,36.4,7.7,17.1,.451,0.9,2.6,.357,6.8,14.6,.468,.478,6.0,7.2,.826,0.8,2.9,3.7,5.4,1.1,0.9,1.5,2.2,22.4,derozde01
109,Moussa Diabaté,C,22,LAC,9,0,6.1,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,1.3,.750,1.6,0.6,2.1,0.4,0.4,0.0,0.2,0.4,3.0,diabamo01
110,Gradey Dick,SG,20,TOR,17,1,13.4,1.1,3.9,.284,0.6,2.6,.250,0.5,1.4,.348,.366,0.8,0.8,1.000,0.4,0.9,1.3,0.9,0.2,0.0,0.7,1.4,3.7,dickgr01
111,Ousmane Dieng,PF,20,OKC,16,0,11.4,1.4,3.4,.426,0.8,2.3,.324,0.7,1.1,.647,.537,0.5,0.6,.800,0.4,1.3,1.8,1.0,0.1,0.0,0.4,0.6,4.1,diengou01
112,Spencer Dinwiddie,PG,30,BRK,26,26,31.8,4.8,12.0,.404,2.1,6.6,.322,2.7,5.4,.504,.492,3.0,3.8,.786,0.5,3.5,4.1,6.8,0.9,0.2,1.8,1.6,14.8,dinwisp01
113,Donte DiVincenzo,SG,27,NYK,27,9,20.6,3.3,7.3,.455,2.4,5.3,.448,1.0,2.0,.473,.616,0.8,1.1,.724,0.7,2.3,3.0,1.8,1.0,0.3,1.0,1.7,9.8,divindo01
114,Luka Dončić,PG,24,DAL,26,26,37.0,11.2,23.2,.485,3.8,10.2,.376,7.4,12.9,.571,.568,6.4,8.2,.776,0.8,7.6,8.4,9.1,1.3,0.5,4.0,1.8,32.7,doncilu01
115,Luguentz Dort,SF,24,OKC,24,24,28.0,3.5,7.8,.446,1.7,4.2,.406,1.8,3.5,.494,.556,2.1,2.5,.820,1.3,2.7,4.0,1.3,0.9,0.8,0.9,3.0,10.7,dortlu01
116,Ayo Dosunmu,SG,24,CHI,27,5,20.9,2.7,5.7,.484,1.0,2.7,.375,1.7,3.0,.580,.572,0.7,1.0,.731,0.6,1.5,2.1,1.9,0.8,0.3,0.9,1.7,7.2,dosunay01
