Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
324,Dejounte Murray,SG,27,ATL,27,27,34.3,7.6,16.9,.452,2.3,6.0,.374,5.4,10.9,.495,.519,2.5,2.9,.848,0.8,3.6,4.3,5.4,1.5,0.4,2.1,1.6,20.0,murrade01
325,Jamal Murray,PG,26,DEN,15,15,29.0,6.9,15.0,.458,2.3,5.4,.432,4.5,9.6,.472,.536,2.3,2.5,.921,0.4,2.9,3.3,5.7,0.6,0.8,1.9,2.1,18.4,murraja01
326,Keegan Murray,SF,23,SAC,22,22,32.0,5.8,12.9,.447,2.6,7.0,.370,3.2,5.9,.538,.548,1.7,2.0,.860,1.5,4.0,5.5,1.8,1.2,0.4,1.0,2.8,15.8,murrake02
327,Kris Murray,SF,23,POR,13,0,11.1,0.9,2.8,.324,0.6,1.8,.333,0.3,1.0,.308,.432,0.2,0.4,.600,0.6,1.2,1.8,0.5,0.8,0.2,0.1,0.8,2.7,murrakr01
328,Mike Muscala,C,32,WAS,14,2,12.9,1.1,2.8,.385,0.4,1.6,.261,0.6,1.1,.563,.462,1.0,1.1,.875,0.6,1.9,2.4,0.9,0.2,0.4,0.7,1.1,3.6,muscami01
329,Svi Mykhailiuk,SF,26,BOS,11,0,7.5,0.6,2.3,.280,0.4,1.8,.200,0.3,0.5,.600,.360,0.0,0.0,,0.3,0.5,0.8,0.4,0.4,0.0,0.4,0.5,1.6,mykhasv01
330,Larry Nance Jr.,C,31,NOP,14,0,15.1,1.5,3.0,.500,0.2,0.8,.273,1.3,2.2,.581,.536,0.3,0.6,.500,1.3,2.9,4.1,0.7,0.6,0.3,0.9,1.4,3.5,nancela02
331,Andrew Nembhard,PG,24,IND,17,2,18.1,3.1,6.7,.456,0.5,2.2,.243,2.5,4.5,.558,.496,0.4,0.5,.667,0.5,1.2,1.7,4.1,0.9,0.1,1.3,1.9,7.0,nembhan01
332,Aaron Nesmith,SF,24,IND,24,1,24.5,4.3,7.8,.548,2.0,4.2,.470,2.3,3.7,.636,.673,1.3,1.8,.682,0.9,2.1,3.0,1.0,0.9,0.7,0.7,3.3,11.8,nesmiaa01
333,Georges Niang,PF,30,CLE,28,1,22.3,3.0,7.4,.399,1.5,4.5,.336,1.5,3.0,.494,.500,0.5,0.5,.933,0.4,3.2,3.6,1.2,0.3,0.1,0.8,2.4,7.9,niangge01
334,Daishen Nix,PG,21,MIN,6,0,3.5,0.5,1.3,.375,0.3,0.8,.400,0.2,0.5,.333,.500,0.0,0.3,.000,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,1.3,nixda01
335,Zeke Nnaji,PF,23,DEN,23,0,10.7,1.4,2.9,.500,0.2,0.5,.364,1.3,2.4,.527,.530,1.0,1.5,.629,1.3,1.2,2.5,0.6,0.2,0.7,0.6,1.5,4.0,nnajize01
336,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7,nowelja01
337,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,nowelma01
338,Jusuf Nurkić,C,29,PHO,27,27,28.5,4.5,9.7,.464,0.6,2.4,.266,3.9,7.3,.528,.496,2.6,3.6,.711,3.0,7.3,10.3,3.9,1.0,1.2,2.1,3.6,12.1,nurkiju01
339,Jordan Nwora,SF,25,IND,10,0,11.8,2.7,5.6,.482,0.8,2.4,.333,1.9,3.2,.594,.554,0.6,0.7,.857,0.7,1.5,2.2,1.1,0.5,0.1,1.0,1.2,6.8,nworajo01
340,Royce O'Neale,SF,30,BRK,26,5,27.7,2.7,7.0,.377,2.3,5.9,.383,0.4,1.1,.345,.538,0.3,0.5,.583,0.8,4.1,4.9,3.3,0.8,0.8,1.0,2.7,7.8,onealro01
341,Chuma Okeke,SF,25,ORL,13,0,4.7,0.5,1.4,.389,0.3,0.9,.333,0.2,0.5,.500,.500,0.0,0.0,,0.2,0.8,1.1,0.3,0.2,0.0,0.2,0.1,1.4,okekech01
342,Josh Okogie,SG,25,PHO,23,11,21.3,2.0,4.7,.417,0.6,2.2,.275,1.3,2.5,.544,.481,2.0,2.6,.767,1.7,1.7,3.4,1.2,1.0,0.5,0.8,1.3,6.5,okogijo01
343,Onyeka Okongwu,C,23,ATL,27,2,24.6,3.7,6.3,.586,0.4,1.4,.297,3.3,4.9,.667,.618,1.9,2.2,.850,2.4,4.4,6.9,1.4,0.4,0.9,0.7,2.7,9.6,okongon01
344,Isaac Okoro,SF,23,CLE,19,8,24.5,2.6,5.5,.476,0.8,2.2,.390,1.8,3.4,.531,.552,1.1,1.7,.625,1.5,2.1,3.6,1.9,0.9,0.4,0.7,2.2,7.2,okorois01
