,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
113,Donte DiVincenzo,SG,27,NYK,27,556,,79%,21%,,,-1.2,-8.6,14,4,19,4,9,8,116,1,6,divindo01
114,Luka Dončić,PG,24,DAL,26,962,75%,25%,,,,-0.1,-3.7,79,20,23,2,99,4,586,28,18,doncilu01
115,Luguentz Dort,SF,24,OKC,24,671,,3%,72%,25%,,3.9,-8.5,8,6,32,4,28,13,70,5,9,dortlu01
116,Ayo Dosunmu,SG,24,CHI,27,564,14%,72%,14%,,,-3.7,-1.5,9,9,20,3,11,2,120,0,11,dosunay01
117,Andre Drummond,C,30,CHI,29,385,,,,,100%,0.1,4.1,8,3,17,12,30,1,38,4,8,drumman01
118,Chris Duarte,SF,26,SAC,23,285,,21%,79%,,,-3.1,-3.8,7,2,22,2,9,6,41,2,3,duartch01
119,Kris Dunn,PG,29,UTA,20,279,45%,50%,6%,,,-1.5,7.3,11,5,14,6,5,2,131,0,3,dunnkr01
120,Kevin Durant,PF,35,PHO,23,844,,,3%,93%,4%,4.1,10.0,37,30,23,5,81,3,306,20,18,duranke01
121,Jalen Duren,C,20,DET,14,404,,,,,100%,-8.0,5.1,12,11,23,13,18,1,77,8,12,durenja01
122,Tari Eason,PF,22,HOU,17,357,,1%,44%,56%,,15.0,16.7,7,3,20,2,14,1,51,5,12,easonta01
123,Anthony Edwards,SG,22,MIN,23,782,3%,68%,29%,,,12.3,14.3,31,24,17,6,58,1,297,14,15,edwaran01
124,Kessler Edwards,SF,23,SAC,21,115,,,53%,42%,5%,-11.6,-12.5,0,0,8,0,1,2,15,0,2,edwarke02
125,Keon Ellis,SG,24,SAC,19,262,31%,60%,9%,,,8.4,10.8,7,4,18,1,4,1,75,0,1,elliske01
126,Joel Embiid,C,29,PHI,24,819,,,,,100%,13.5,7.0,35,32,40,17,126,0,355,23,31,embiijo01
127,Drew Eubanks,C,26,PHO,26,444,,,,,100%,-5.8,-9.7,12,6,24,10,14,2,78,2,11,eubandr01
128,Dante Exum,PG,28,DAL,24,418,100%,,,,,10.4,14.1,5,6,19,2,17,9,138,4,8,exumda01
129,Bruno Fernando,C,25,ATL,7,33,,,,,100%,-4.9,-5.3,2,1,1,1,3,0,3,1,3,fernabr01
130,Dorian Finney-Smith,PF,30,BRK,25,733,,2%,35%,34%,30%,-3.6,-9.0,10,4,28,5,5,1,76,2,8,finnedo01
131,Malachi Flynn,PG,25,TOR,27,440,89%,12%,,,,-9.0,-10.5,13,9,15,3,8,3,158,2,5,flynnma01
132,Simone Fontecchio,SF,28,UTA,26,540,,1%,83%,16%,,-10.4,-5.2,10,9,14,2,11,3,75,0,9,fontesi01
133,Jordan Ford,PG,25,SAC,6,22,100%,,,,,28.1,28.8,1,0,0,0,0,0,6,0,0,fordjo01
134,Trent Forrest,SG,25,ATL,7,61,33%,55%,12%,,,-18.3,-19.5,1,1,4,0,2,2,30,0,1,forretr01
135,Evan Fournier,SG,31,NYK,1,16,,,100%,,,22.1,18.6,0,0,1,0,0,0,2,0,0,fournev01
136,De'Aaron Fox,PG,26,SAC,20,699,100%,,,,,2.2,5.6,27,16,23,5,73,6,304,24,25,foxde01
137,Alex Fudge,SF,20,LAL,4,14,,,,100%,,-71.3,-71.5,0,1,0,0,1,0,0,0,1,fudgeal01
138,Markelle Fultz,PG,25,ORL,5,143,81%,19%,,,,2.3,-0.7,2,4,3,0,3,1,48,2,1,fultzma01
139,Daniel Gafford,C,25,WAS,23,583,,,,,100%,-9.0,1.3,9,7,58,7,31,5,88,7,14,gaffoda01
140,Danilo Gallinari,PF,35,WAS,23,351,,,,9%,91%,-9.5,0.3,4,6,19,0,14,2,73,3,4,gallida01
141,Darius Garland,PG,24,CLE,20,680,100%,,,,,3.8,5.9,46,16,11,4,41,5,275,8,18,garlada01
142,Luka Garza,C,25,MIN,6,18,,,,10%,90%,4.9,-2.1,0,1,3,0,3,1,4,0,1,garzalu01
143,Kaiser Gates,SF,27,NOP,1,7,,,,100%,,-12.5,-15.1,0,0,0,0,0,0,0,0,1,gateska01
144,Keyonte George,PG,20,UTA,24,618,96%,4%,,,,-13.8,-11.9,34,13,9,3,33,10,288,7,14,georgke01
145,Paul George,PF,33,LAC,25,871,,,6%,85%,9%,10.4,11.6,32,12,26,10,40,7,246,13,16,georgpa01
146,Taj Gibson,PF,38,NYK,4,27,,,,29%,71%,-3.4,-7.2,0,0,2,1,0,0,0,0,0,gibsota01
147,Josh Giddey,SG,21,OKC,25,641,,63%,30%,7%,,2.4,-11.1,36,14,17,5,16,1,259,4,32,giddejo01
148,Harry Giles,C,25,BRK,7,42,,,,79%,21%,20.3,20.6,1,1,4,0,5,0,2,3,0,gilesha01
149,Shai Gilgeous-Alexander,PG,25,OKC,24,832,98%,2%,,,,13.7,20.4,19,18,34,6,65,3,393,17,21,gilgesh01
150,Anthony Gill,PF,31,WAS,17,115,,,6%,31%,63%,18.1,30.7,5,3,6,2,3,0,24,0,1,gillan01
151,Collin Gillespie,PG,24,DEN,11,86,100%,,,,,-5.5,-11.1,3,0,5,0,1,0,18,1,1,gilleco01
152,Jacob Gilyard,PG,25,MEM,19,299,100%,,,,,-11.2,-5.8,10,2,7,0,0,1,148,0,1,gilyaja01
153,Rudy Gobert,C,31,MIN,26,828,,,,,100%,10.3,9.5,9,10,36,14,51,2,82,10,18,goberru01
154,Jordan Goodwin,PG,25,PHO,27,495,99%,1%,,,,0.0,-1.0,15,6,19,1,7,2,168,3,12,goodwjo01
155,Aaron Gordon,PF,28,DEN,25,800,,,,93%,7%,7.2,5.4,10,13,24,7,40,2,219,10,18,gordoaa01
