,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
400,Dario Šarić,C,29,GSW,27,563,,,,,100%,4.1,6.4,12,11,42,6,21,5,136,4,13,saricda01
401,Olivier Sarr,C,24,OKC,6,61,,,,,100%,9.3,1.8,0,1,8,1,2,0,3,0,0,sarrol01
402,Marcus Sasser,PG,23,DET,26,442,100%,,,,,-9.5,3.0,10,5,23,0,7,5,164,2,8,sassema01
403,Admiral Schofield,PF,26,ORL,8,28,,,,,100%,-4.9,-8.1,1,1,3,2,1,1,5,0,1,schofad01
404,Dennis Schröder,PG,30,TOR,27,863,100%,,,,,-2.1,-0.4,32,10,19,3,25,11,426,4,27,schrode01
405,Dereon Seabron,SG,23,NOP,5,52,,75%,20%,5%,,23.1,21.4,0,0,2,0,3,1,9,0,1,seabrde01
406,Alperen Şengün,C,21,HOU,25,799,,,,,100%,3.6,0.9,24,20,44,11,48,8,322,15,20,sengual01
407,Brice Sensabaugh,SF,20,UTA,1,2,,100%,,,,25.0,32.3,0,0,0,0,0,0,0,0,0,sensabr01
408,Collin Sexton,SG,25,UTA,28,640,8%,75%,11%,6%,,-2.3,9.4,18,20,20,4,48,12,236,10,32,sextoco01
409,Landry Shamet,SG,26,WAS,15,253,53%,47%,,,,-2.8,8.7,7,1,19,1,8,2,54,7,9,shamela01
410,Day'Ron Sharpe,C,22,BRK,27,428,,,,,100%,11.0,15.8,11,7,28,11,31,0,74,10,17,sharpda01
411,Shaedon Sharpe,SG,20,POR,26,911,6%,81%,14%,,,-8.1,-5.4,36,18,24,9,43,7,209,9,30,sharpsh01
412,Ben Sheppard,SG,22,IND,12,90,21%,74%,5%,,,1.7,0.5,1,0,9,0,1,0,18,0,2,sheppbe01
413,Pascal Siakam,PF,29,TOR,27,933,,,1%,86%,13%,0.2,7.7,26,17,17,9,78,2,325,28,18,siakapa01
414,Ben Simmons,PG,27,BRK,6,191,49%,51%,,,,-5.7,-7.2,10,1,6,3,2,3,104,0,2,simmobe01
415,Anfernee Simons,SG,24,POR,8,269,35%,54%,11%,,,-11.3,-6.0,10,6,8,3,18,1,112,6,6,simonan01
416,Jericho Sims,C,25,NYK,14,103,,,,1%,99%,-10.5,-15.4,1,0,10,1,4,0,8,3,1,simsje01
417,Jalen Slawson,SF,24,SAC,5,19,,,77%,23%,,-35.4,-35.6,1,0,1,1,0,0,5,0,0,slawsja01
418,Marcus Smart,PG,29,MEM,11,329,87%,14%,,,,-7.6,-1.2,22,7,6,5,3,7,132,0,2,smartma01
419,Dennis Smith Jr.,PG,26,BRK,13,229,100%,,,,,6.4,7.3,8,1,13,2,7,1,107,2,1,smithde03
420,Dru Smith,SG,26,MIA,9,131,72%,28%,,,,-14.1,-16.7,5,0,6,0,1,3,33,0,1,smithdr01
421,Ish Smith,PG,35,CHO,20,323,100%,,,,,-16.9,-8.0,16,6,15,1,0,5,132,0,2,smithis01
422,Jabari Smith Jr.,PF,20,HOU,25,759,,,,79%,21%,0.4,-7.8,8,11,39,8,25,0,99,4,15,smithja05
423,Jalen Smith,C,23,IND,15,224,,,,,100%,-2.6,-4.7,3,8,21,2,12,0,26,3,1,smithja04
424,Nick Smith Jr.,SG,19,CHO,11,109,10%,78%,12%,,,-29.9,-20.7,4,0,7,0,0,0,8,0,0,smithni01
425,Jeremy Sochan,PG,20,SAS,26,757,78%,22%,,,,-13.3,-4.5,30,12,29,7,25,8,263,2,29,sochaje01
426,Jaden Springer,SG,21,PHI,16,169,36%,47%,18%,,,2.9,-9.2,6,1,9,5,7,1,41,0,7,sprinja01
427,Lamar Stevens,PF,26,BOS,10,48,,,24%,54%,21%,-14.7,-24.9,2,2,5,0,2,0,8,0,1,stevela01
428,Isaiah Stewart,PF,22,DET,25,758,,,,69%,31%,-8.6,6.8,10,10,29,9,20,2,81,4,10,stewais01
429,Julian Strawther,SF,21,DEN,26,365,,18%,76%,6%,,-5.5,-14.2,1,4,20,1,5,1,74,1,6,strawju01
430,Max Strus,SF,27,CLE,28,966,,31%,64%,5%,,4.0,11.3,20,13,46,4,16,9,239,5,20,strusma01
431,Jalen Suggs,SG,22,ORL,24,624,7%,86%,7%,,,0.2,-5.5,19,15,39,4,25,17,137,6,10,suggsja01
432,Cole Swider,SF,24,MIA,3,29,,,72%,29%,,3.5,2.6,1,0,1,0,0,0,6,0,0,swideco01
433,Jae'Sean Tate,SF,28,HOU,23,410,,31%,68%,,,5.0,2.6,4,4,25,2,9,6,64,4,6,tateja01
434,Jayson Tatum,PF,25,BOS,26,957,,,19%,78%,3%,9.3,0.1,35,24,19,12,72,2,274,16,21,tatumja01
435,Terry Taylor,PF,24,CHI,7,13,,,,77%,23%,-6.5,-3.7,0,0,0,0,0,0,0,0,0,taylote01
436,Garrett Temple,SG,37,TOR,6,19,20%,80%,,,,22.5,24.9,0,0,0,0,1,0,9,0,0,templga01
437,Dalen Terry,SG,21,CHI,13,99,3%,38%,57%,3%,,4.2,7.6,3,1,7,0,1,1,31,0,1,terryda01
438,Daniel Theis,C,31,TOT,17,283,,,,3%,97%,7.2,1.0,1,1,31,5,9,1,36,0,14,theisda01
438,Daniel Theis,C,31,IND,1,8,,,,100%,,-5.8,-7.2,0,0,0,0,0,1,0,0,1,theisda01
438,Daniel Theis,C,31,LAC,16,275,,,,,100%,7.6,1.2,1,1,31,5,9,0,36,0,13,theisda01
439,Cam Thomas,SG,22,BRK,18,570,14%,65%,19%,2%,,-7.7,-14.7,7,14,20,3,41,6,108,10,24,thomaca02
440,Amen Thompson,SF,21,HOU,6,86,,14%,66%,20%,,-12.5,-17.1,1,4,4,1,4,1,16,0,1,thompam01
441,Ausar Thompson,SF,21,DET,27,728,,1%,71%,27%,,-14.6,-7.0,20,19,39,3,24,11,153,6,23,thompau01
442,Klay Thompson,SF,33,GSW,26,794,,30%,61%,8%,,-1.1,-3.8,22,11,36,6,26,1,127,5,6,thompkl01
443,Tristan Thompson,PF,32,CLE,23,246,,,,22%,78%,3.4,3.1,2,2,10,4,5,0,50,0,5,thomptr01
444,JT Thor,PF,21,CHO,23,360,,,,66%,34%,-13.4,-3.5,1,3,21,1,4,0,25,1,6,thorjt01
445,Matisse Thybulle,SF,26,POR,26,603,,21%,75%,4%,,-8.1,-2.8,12,5,15,0,5,5,65,1,3,thybuma01
446,Xavier Tillman Sr.,C,25,MEM,14,289,,,,49%,51%,-9.1,-3.1,6,4,14,3,7,0,56,2,9,tillmxa01
447,Jacob Toppin,SF,23,NYK,1,2,,,,100%,,-80.0,-83.8,0,0,0,0,0,0,0,0,0,toppija01
448,Obi Toppin,PF,25,IND,26,623,,,,87%,13%,-1.8,-6.2,6,5,33,3,19,1,83,5,10,toppiob01
449,Juan Toscano-Anderson,SF,30,SAC,3,10,,,66%,34%,,-50.4,-50.6,1,0,2,0,0,0,5,0,0,toscaju01
450,Karl-Anthony Towns,PF,28,MIN,26,865,,,1%,95%,5%,7.9,2.9,33,12,41,22,56,7,176,19,29,townska01
451,Gary Trent Jr.,SG,25,TOR,24,607,6%,89%,5%,,,0.4,4.4,7,2,9,4,14,2,92,5,11,trentga02
452,Oscar Tshiebwe,PF,24,IND,3,17,,,,24%,76%,27.7,26.8,0,0,1,0,2,0,5,0,1,tshieos01
453,P.J. Tucker,PF,38,TOT,15,239,,,62%,33%,5%,3.3,-5.5,2,0,18,0,2,4,21,1,1,tuckepj01
453,P.J. Tucker,PF,38,PHI,3,66,,,88%,12%,,22.9,12.6,1,0,7,0,0,1,0,0,0,tuckepj01
453,P.J. Tucker,PF,38,LAC,12,173,,,52%,41%,7%,-4.2,-12.4,1,0,11,0,2,3,21,1,1,tuckepj01
454,Myles Turner,C,27,IND,25,678,,,,,100%,4.4,6.8,7,9,47,14,56,3,70,14,19,turnemy01
455,Hunter Tyson,PF,23,DEN,8,20,,,,62%,38%,7.7,2.8,0,0,3,0,0,0,3,0,0,tysonhu01
456,Stanley Umude,SG,24,DET,15,155,,24%,56%,20%,,-11.4,0.1,5,3,14,1,10,1,18,2,3,umudest01
457,Jonas Valančiūnas,C,31,NOP,28,775,,,,,100%,5.7,7.4,12,7,55,13,45,2,152,9,20,valanjo01
458,Jarred Vanderbilt,PF,24,LAL,7,99,,7%,67%,26%,,1.5,2.2,1,1,7,0,0,1,16,0,0,vandeja01
459,Fred VanVleet,PG,29,HOU,24,924,79%,21%,,,,5.4,8.8,26,8,16,5,28,8,509,7,14,vanvlfr01
460,Devin Vassell,SG,23,SAS,21,623,2%,61%,36%,,,-7.4,8.1,16,9,10,2,30,3,142,9,6,vassede01
461,Sasha Vezenkov,PF,28,SAC,23,322,,,17%,75%,8%,4.0,5.7,3,2,13,2,4,1,31,1,4,vezenal01
462,Gabe Vincent,PG,27,LAL,5,127,44%,56%,,,,-3.2,-3.0,2,0,5,0,1,2,34,0,1,vincega01
463,Nikola Vučević,C,33,CHI,29,994,,,,,100%,-5.0,-7.2,18,17,52,9,27,2,251,9,25,vucevni01
464,Dean Wade,PF,27,CLE,21,441,,,14%,79%,7%,2.5,2.5,4,3,26,1,6,4,49,0,0,wadede01
465,Franz Wagner,SF,22,ORL,26,865,,1%,85%,14%,,1.7,-3.9,16,18,19,7,55,13,241,14,35,wagnefr01
466,Moritz Wagner,C,26,ORL,26,488,,,,,100%,1.3,-2.8,9,11,24,12,38,13,72,14,12,wagnemo01
467,Ish Wainright,SF,29,POR,2,5,,,,100%,,-10.0,-3.4,0,0,0,0,0,0,0,0,0,wainris01
468,Jabari Walker,SF,21,POR,26,457,,4%,36%,47%,13%,-3.1,5.5,5,6,29,6,23,2,41,7,15,walkeja01
469,Jarace Walker,PF,20,IND,8,84,,,5%,95%,,7.8,7.0,2,1,4,0,2,1,24,1,0,walkeja02
470,Lonnie Walker IV,SG,25,BRK,17,362,14%,67%,19%,,,5.0,6.5,5,11,9,3,18,2,70,4,5,walkelo01
471,Cason Wallace,SG,20,OKC,25,545,24%,29%,44%,4%,,9.9,4.1,5,4,22,1,8,2,81,1,4,wallaca01
472,P.J. Washington,PF,25,CHO,23,691,,,5%,73%,22%,-12.2,-2.8,18,8,41,6,18,4,133,8,14,washipj01
473,TyTy Washington Jr.,PG,22,MIL,2,6,58%,42%,,,,25.0,19.3,0,2,0,0,0,0,0,0,0,washity02
474,Yuta Watanabe,SF,29,PHO,19,328,,8%,57%,35%,,-3.1,-5.0,8,4,23,0,5,2,24,1,2,watanyu01
475,Lindy Waters III,SG,26,OKC,9,70,5%,32%,32%,32%,,8.4,0.9,0,0,5,0,0,0,17,0,0,waterli01
476,Trendon Watford,PF,23,BRK,20,280,,,12%,67%,21%,8.4,10.1,10,3,19,5,8,2,90,3,8,watfotr01
477,Peyton Watson,SF,21,DEN,27,452,,1%,31%,68%,,1.0,-5.8,5,4,32,4,18,1,69,2,11,watsope01
478,Victor Wembanyama,PF,20,SAS,24,732,,,,61%,39%,-9.4,4.9,32,31,35,8,51,4,146,16,7,wembavi01
479,Blake Wesley,SG,20,SAS,6,26,12%,81%,7%,,,-64.9,-54.5,1,0,2,0,1,0,16,0,0,weslebl01
480,Russell Westbrook,PG,35,LAC,27,650,88%,12%,,,,3.3,-6.8,43,11,20,3,32,5,282,4,18,westbru01
481,Coby White,PG,23,CHI,29,1005,86%,14%,,,,-0.8,7.2,26,14,37,3,35,26,348,7,18,whiteco01
482,Derrick White,SG,29,BOS,24,782,14%,84%,2%,,,13.9,11.7,25,6,26,7,33,10,289,6,9,whitede01
483,Cam Whitmore,SF,19,HOU,5,32,,,10%,75%,15%,-14.2,-18.0,1,1,0,0,4,1,4,0,0,whitmca01
484,Aaron Wiggins,SG,25,OKC,23,272,10%,43%,35%,13%,,4.9,-3.5,5,2,11,3,11,1,36,1,7,wiggiaa01
485,Andrew Wiggins,SF,28,GSW,25,664,,,52%,48%,,-8.1,-17.3,12,20,27,6,34,5,77,5,14,wiggian01
486,Lindell Wigginton,PG,25,MIL,3,8,100%,,,,,-52.7,-58.8,1,0,1,0,1,0,0,0,0,wiggili01
487,Grant Williams,PF,25,DAL,24,708,,,,90%,10%,-1.3,-4.7,5,9,31,4,14,5,100,4,8,willigr01
488,Jalen Williams,PF,22,OKC,22,708,,1%,16%,79%,3%,4.3,-7.9,20,12,24,3,38,6,198,9,20,willija06
489,Jaylin Williams,C,21,OKC,20,262,,,,10%,90%,7.2,-0.5,7,2,19,1,5,7,68,0,5,willija07
490,Jeenathan Williams,SG,24,HOU,4,22,25%,75%,,,,0.3,-3.1,0,0,2,0,1,0,4,0,1,willije02
491,Kenrich Williams,PF,29,OKC,15,219,,,6%,61%,34%,17.6,12.2,3,0,13,0,3,5,53,0,3,willike04
492,Mark Williams,C,22,CHO,19,508,,,,,100%,-0.8,17.1,5,2,26,7,30,0,57,4,18,willima07
493,Patrick Williams,PF,22,CHI,29,788,,,,96%,4%,2.6,12.2,14,13,28,1,23,2,103,1,20,willipa01
494,Robert Williams,C,26,POR,6,119,,,,18%,82%,-12.2,-6.2,2,2,12,2,5,0,12,3,4,williro04
495,Vince Williams Jr.,SG,23,MEM,18,335,24%,74%,2%,,,0.4,9.7,8,3,14,0,8,12,57,0,2,willivi01
496,Ziaire Williams,SF,22,MEM,24,480,,24%,68%,7%,,-13.3,-10.6,14,11,24,0,13,13,81,2,13,willizi02
497,Zion Williamson,PF,23,NOP,23,701,,,1%,85%,15%,0.2,-4.9,25,14,35,10,84,1,269,26,34,willizi01
498,Jalen Wilson,PF,23,BRK,7,52,,38%,26%,28%,9%,-6.0,-6.6,0,0,1,2,1,1,8,0,0,wilsoja03
499,Dylan Windler,SF,27,NYK,3,7,,,,100%,,59.5,56.2,0,0,1,0,0,0,3,0,0,windldy01
500,James Wiseman,C,22,DET,17,242,,,,,100%,-15.8,-5.4,4,5,25,7,11,1,27,2,3,wisemja01
501,Christian Wood,PF,28,LAL,25,486,,,54%,45%,2%,1.6,3.2,8,10,26,8,23,2,51,5,5,woodch01
502,Delon Wright,PG,31,WAS,8,141,87%,14%,,,,3.5,14.8,2,2,3,0,6,3,85,2,2,wrighde01
503,Thaddeus Young,PF,35,TOR,4,13,,,,,100%,39.4,41.8,0,1,0,0,0,0,6,0,1,youngth01
504,Trae Young,PG,25,ATL,25,900,100%,,,,,2.0,5.6,73,23,25,4,69,14,664,11,29,youngtr01
505,Omer Yurtseven,C,25,UTA,18,227,,,,,100%,-18.3,-13.2,2,7,14,9,4,0,30,2,4,yurtsom01
506,Cody Zeller,C,31,NOP,22,221,,,,,100%,7.1,5.5,3,1,11,4,7,3,59,1,8,zelleco01
507,Ivica Zubac,C,26,LAC,27,724,,,,,100%,8.3,3.6,14,7,55,9,36,1,65,6,21,zubaciv01
