Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
442,Klay Thompson,SF,33,GSW,26,26,794,6.9,16.5,.419,3.7,9.9,.376,3.2,6.6,.483,2.7,2.9,.908,0.7,3.9,4.6,2.6,0.6,0.6,2.0,2.5,20.2,thompkl01
443,Tristan Thompson,PF,32,CLE,23,0,246,4.8,6.7,.717,0.0,0.0,,4.8,6.7,.717,1.3,3.7,.360,5.0,6.3,11.3,2.8,0.9,1.2,1.5,3.4,11.0,thomptr01
444,JT Thor,PF,21,CHO,23,1,360,2.9,7.8,.372,1.2,4.1,.293,1.7,3.7,.459,0.3,0.7,.429,1.9,3.9,5.8,1.0,0.6,0.9,0.6,2.8,7.3,thorjt01
445,Matisse Thybulle,SF,26,POR,26,12,603,3.5,7.5,.460,2.4,6.0,.410,1.0,1.6,.654,0.5,0.6,.800,0.7,2.5,3.2,1.6,2.6,1.3,1.1,1.7,9.9,thybuma01
446,Xavier Tillman Sr.,C,25,MEM,14,6,289,4.9,12.5,.390,1.1,3.9,.290,3.7,8.6,.435,0.6,1.7,.357,2.4,5.9,8.2,2.9,2.5,1.2,1.6,3.1,11.5,tillmxa01
447,Jacob Toppin,SF,23,NYK,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,toppija01
448,Obi Toppin,PF,25,IND,26,25,623,7.3,12.0,.609,1.8,4.9,.369,5.5,7.1,.772,1.8,2.3,.795,1.5,3.6,5.1,2.0,0.8,0.9,1.2,3.2,18.1,toppiob01
449,Juan Toscano-Anderson,SF,30,SAC,3,0,10,3.6,10.8,.333,0.0,3.6,.000,3.6,7.2,.500,0.0,0.0,,3.6,7.2,10.8,7.2,0.0,0.0,3.6,10.8,7.2,toscaju01
450,Karl-Anthony Towns,PF,28,MIN,26,26,865,8.7,16.8,.520,2.1,5.0,.425,6.6,11.8,.560,4.5,5.0,.899,1.8,8.6,10.4,3.2,1.0,0.7,3.1,3.6,24.1,townska01
451,Gary Trent Jr.,SG,25,TOR,24,2,607,5.7,14.5,.393,2.7,7.7,.354,3.0,6.8,.439,1.3,2.1,.629,0.3,2.9,3.2,2.3,0.9,0.1,0.9,1.4,15.4,trentga02
452,Oscar Tshiebwe,PF,24,IND,3,0,17,8.5,16.9,.500,0.0,0.0,,8.5,16.9,.500,6.4,8.5,.750,4.2,6.4,10.6,4.2,0.0,0.0,0.0,2.1,23.3,tshieos01
453,P.J. Tucker,PF,38,TOT,15,3,239,0.9,2.9,.316,0.8,2.4,.313,0.2,0.5,.333,0.5,0.5,1.000,2.4,4.1,6.5,1.2,1.4,0.5,0.6,5.3,3.0,tuckepj01
453,P.J. Tucker,PF,38,PHI,3,3,66,1.1,2.7,.400,1.1,2.7,.400,0.0,0.0,,0.0,0.0,,0.5,7.1,7.6,0.0,1.6,1.1,1.1,4.9,3.3,tuckepj01
453,P.J. Tucker,PF,38,LAC,12,0,173,0.8,2.9,.286,0.6,2.3,.273,0.2,0.6,.333,0.6,0.6,1.000,3.1,2.9,6.0,1.7,1.2,0.2,0.4,5.4,2.9,tuckepj01
454,Myles Turner,C,27,IND,25,25,678,8.1,16.0,.503,1.8,5.5,.327,6.3,10.5,.596,4.5,5.7,.787,2.5,7.7,10.2,1.6,0.8,2.7,1.8,4.0,22.5,turnemy01
455,Hunter Tyson,PF,23,DEN,8,0,20,1.8,7.2,.250,0.0,5.4,.000,1.8,1.8,1.000,0.0,0.0,,0.0,9.0,9.0,1.8,0.0,0.0,0.0,9.0,3.6,tysonhu01
