Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,C,24,TOR,21,0,387,9.1,19.0,.477,1.6,5.3,.310,7.4,13.7,.541,2.6,4.5,.583,5.8,10.0,15.8,5.3,1.6,1.1,3.4,4.7,22.4,,110,113,achiupr01
2,Bam Adebayo,C,26,MIA,18,18,603,12.2,23.8,.514,0.1,0.2,.333,12.1,23.5,.516,7.9,9.8,.808,2.9,11.1,14.1,5.7,1.7,1.4,3.6,3.8,32.4,,115,111,adebaba01
3,Ochai Agbaji,SG,23,UTA,28,10,590,5.9,13.1,.450,2.9,7.6,.380,3.0,5.6,.544,0.5,0.7,.750,2.1,3.9,6.0,2.5,1.6,1.2,1.6,3.4,15.2,,114,121,agbajoc01
4,Santi Aldama,PF,23,MEM,20,5,501,8.8,20.1,.438,3.3,9.7,.340,5.5,10.4,.528,2.1,3.4,.629,3.1,8.3,11.4,3.8,1.4,1.4,2.1,3.5,23.0,,108,112,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,26,11,609,5.4,12.9,.416,3.0,8.3,.365,2.3,4.6,.509,0.9,1.4,.647,1.0,3.2,4.2,5.2,1.7,1.4,2.2,3.9,14.6,,109,110,alexani01
6,Grayson Allen,SG,28,PHO,22,22,731,6.1,12.5,.486,3.2,7.2,.449,2.8,5.3,.538,2.8,3.1,.891,1.3,5.5,6.8,4.0,1.3,0.7,2.1,3.6,18.1,,125,118,allengr01
7,Jarrett Allen,C,25,CLE,23,23,669,9.1,13.7,.668,0.0,0.0,,9.1,13.7,.668,3.6,5.3,.681,4.8,9.1,14.0,3.9,1.3,1.6,3.1,4.8,21.9,,127,112,allenja01
8,Jose Alvarado,PG,25,NOP,14,0,236,6.9,16.9,.410,3.9,9.4,.413,3.1,7.5,.405,2.4,4.1,.600,1.4,5.9,7.3,5.9,3.3,1.0,2.8,4.1,20.1,,108,111,alvarjo01
9,Kyle Anderson,PF,30,MIN,26,0,598,5.5,12.1,.456,0.2,1.5,.105,5.4,10.6,.508,3.0,4.4,.685,1.5,5.9,7.3,8.5,1.7,1.7,3.2,3.2,14.2,,108,108,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,26,26,903,15.5,25.3,.611,0.5,2.3,.222,15.0,23.0,.651,10.0,15.1,.662,3.6,11.4,15.0,7.3,2.0,1.6,5.2,3.8,41.5,,124,112,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,12,0,55,3.4,7.7,.444,0.0,0.0,,3.4,7.7,.444,0.0,0.0,,2.6,2.6,5.1,4.3,1.7,0.9,4.3,6.0,6.8,,84,118,antetth01
12,Cole Anthony,PG,23,ORL,26,0,653,9.6,20.9,.459,2.7,7.1,.375,6.9,13.8,.503,6.9,8.2,.847,2.0,6.0,8.0,6.9,1.3,1.0,3.6,5.7,28.7,,117,112,anthoco01
13,OG Anunoby,SF,26,TOR,23,23,763,8.2,17.6,.469,3.5,9.3,.372,4.8,8.3,.577,1.7,2.5,.692,1.3,4.5,5.9,3.7,1.5,0.8,2.5,3.5,21.7,,110,117,anunoog01
14,Ryan Arcidiacono,PG,29,NYK,9,0,20,0.0,7.4,.000,0.0,7.4,.000,0.0,0.0,,0.0,0.0,,0.0,12.4,12.4,7.4,2.5,0.0,0.0,0.0,0.0,,62,111,arcidry01
15,Deni Avdija,SF,23,WAS,26,26,699,7.7,15.4,.498,1.6,4.6,.343,6.1,10.8,.564,2.9,3.6,.815,1.8,7.6,9.4,6.7,1.3,0.5,2.6,3.9,19.8,,116,122,avdijde01
16,Deandre Ayton,C,25,POR,22,22,696,8.9,16.1,.557,0.0,0.0,,8.9,16.1,.557,1.7,2.0,.828,5.0,11.6,16.6,2.4,1.8,1.1,3.1,3.8,19.6,,111,112,aytonde01
17,Udoka Azubuike,C,24,PHO,2,0,9,5.5,5.5,1.000,0.0,0.0,,5.5,5.5,1.000,0.0,0.0,,0.0,21.9,21.9,0.0,0.0,0.0,0.0,5.5,10.9,,200,110,azubuud01
18,Marvin Bagley III,C,24,DET,22,9,411,10.4,18.2,.573,0.1,0.6,.200,10.3,17.6,.586,5.1,6.1,.830,4.8,7.3,12.1,2.8,0.3,1.6,3.2,4.1,26.1,,118,121,baglema01
19,Amari Bailey,PG,19,CHO,2,0,11,8.8,26.5,.333,0.0,8.8,.000,8.8,17.7,.500,4.4,8.8,.500,8.8,0.0,8.8,0.0,0.0,0.0,4.4,0.0,22.1,,80,131,baileam01
20,Patrick Baldwin Jr.,SF,21,WAS,7,0,39,5.9,15.4,.385,3.5,5.9,.600,2.4,9.5,.250,4.7,4.7,1.000,2.4,9.5,11.8,3.5,0.0,1.2,1.2,4.7,20.1,,121,123,baldwpa01
21,LaMelo Ball,PG,22,CHO,15,15,501,12.8,28.9,.443,5.0,13.0,.388,7.8,15.9,.488,5.2,6.1,.857,2.2,5.7,7.9,11.9,2.0,0.4,5.7,5.0,35.9,,112,122,ballla01
22,Mo Bamba,C,25,PHI,15,0,91,10.6,19.6,.541,2.7,5.3,.500,8.0,14.3,.556,4.2,5.8,.727,9.0,9.5,18.6,2.1,0.5,5.3,3.7,6.9,28.1,,125,107,bambamo01
23,Paolo Banchero,PF,21,ORL,26,26,875,10.8,22.9,.471,1.8,4.9,.371,9.0,18.0,.498,6.1,9.0,.681,1.9,7.9,9.8,6.5,1.5,0.8,4.7,3.0,29.5,,106,111,banchpa01
24,Desmond Bane,SG,25,MEM,25,25,860,12.7,27.2,.465,4.7,12.4,.380,7.9,14.8,.536,4.3,5.1,.856,1.5,4.7,6.2,7.2,1.7,1.0,4.3,4.3,34.4,,111,114,banede01
25,Dalano Banton,PG,24,BOS,12,1,94,7.3,15.1,.483,0.5,4.2,.125,6.8,11.0,.619,2.6,3.1,.833,5.2,7.8,13.1,2.6,1.0,1.0,2.6,6.3,17.8,,113,112,bantoda01
26,Dominick Barlow,PF,20,SAS,8,0,45,3.1,9.4,.333,0.0,2.1,.000,3.1,7.3,.429,4.2,6.3,.667,0.0,8.3,8.3,0.0,1.0,0.0,0.0,4.2,10.4,,93,120,barlodo01
27,Harrison Barnes,PF,31,SAC,26,26,795,6.3,12.9,.486,2.8,6.9,.400,3.5,6.0,.586,2.8,3.4,.807,1.4,3.6,5.1,2.3,1.1,0.2,1.2,1.7,18.1,,124,120,barneha02
28,Scottie Barnes,SG,22,TOR,27,27,944,10.9,22.0,.493,2.7,7.2,.381,8.1,14.8,.547,4.3,5.8,.750,3.7,9.1,12.9,8.0,2.1,1.8,3.5,2.8,28.8,,119,111,barnesc01
29,RJ Barrett,SG,23,NYK,22,22,643,10.7,25.1,.426,2.8,8.3,.343,7.9,16.8,.468,7.1,8.2,.860,1.2,5.6,6.8,4.2,0.8,0.6,2.8,2.5,31.3,,113,118,barrerj01
30,Charles Bassey,C,23,SAS,19,0,205,6.6,9.1,.725,0.0,0.2,.000,6.6,8.9,.744,1.1,1.4,.833,5.3,12.1,17.4,4.8,1.8,3.9,3.4,7.1,14.4,,126,111,bassech01
31,Emoni Bates,SF,20,CLE,7,0,52,3.8,14.1,.267,2.8,11.3,.250,0.9,2.8,.333,0.9,1.9,.500,0.9,7.5,8.5,1.9,0.9,0.9,0.9,1.9,11.3,,86,115,batesem01
32,Keita Bates-Diop,SF,28,PHO,22,8,387,5.2,13.1,.398,1.3,5.1,.250,3.9,8.0,.492,2.9,4.1,.719,2.5,6.1,8.7,2.4,1.5,1.9,0.8,2.5,14.6,,113,115,bateske01
33,Nicolas Batum,PF,35,TOT,20,14,478,4.0,7.5,.541,2.6,5.7,.464,1.4,1.8,.778,0.7,1.1,.636,1.8,5.6,7.4,4.3,1.2,1.3,0.9,3.5,11.4,,147,113,batumni01
33,Nicolas Batum,PF,35,LAC,3,0,54,2.7,7.2,.375,1.8,6.3,.286,0.9,0.9,1.000,0.0,0.0,,0.0,6.3,6.3,4.5,2.7,3.6,0.9,4.5,7.2,,113,108,batumni01
33,Nicolas Batum,PF,35,PHI,17,14,424,4.2,7.5,.561,2.7,5.6,.490,1.5,1.9,.765,0.8,1.3,.636,2.0,5.5,7.5,4.3,1.0,1.0,0.9,3.4,12.0,,151,114,batumni01
34,Bradley Beal,SG,30,PHO,6,6,151,10.1,22.5,.449,2.9,6.9,.429,7.2,15.7,.458,5.5,7.8,.708,1.0,5.5,6.5,6.2,1.3,0.7,4.6,4.2,28.7,,105,118,bealbr01
35,Malik Beasley,SG,27,MIL,25,25,755,6.7,13.8,.482,4.5,10.0,.450,2.2,3.9,.565,0.5,0.7,.667,1.1,5.7,6.9,2.3,1.5,0.2,1.0,3.2,18.3,,127,118,beaslma01
36,MarJon Beauchamp,SF,23,MIL,23,1,375,5.5,11.4,.484,2.1,4.9,.436,3.4,6.5,.519,1.4,2.3,.611,1.8,5.4,7.2,2.3,0.9,0.5,2.1,4.5,14.6,,111,119,beaucma01
37,Jules Bernard,SG,24,WAS,2,0,10,4.6,23.1,.200,0.0,13.8,.000,4.6,9.2,.500,0.0,0.0,,4.6,0.0,4.6,4.6,0.0,0.0,4.6,4.6,9.2,,56,130,bernaju01
38,Dāvis Bertāns,PF,31,OKC,9,0,71,4.7,12.8,.368,4.7,12.1,.389,0.0,0.7,.000,9.4,10.1,.933,0.7,4.7,5.4,4.7,1.3,1.3,0.7,6.7,23.5,,147,114,bertada01
39,Patrick Beverley,PG,35,PHI,27,1,465,4.7,11.1,.421,1.8,5.7,.309,2.9,5.4,.538,1.8,2.7,.654,2.1,5.7,7.8,6.4,1.5,0.7,1.8,4.7,12.9,,118,113,beverpa01
40,Saddiq Bey,SF,24,ATL,27,15,855,7.0,15.1,.462,2.7,7.6,.350,4.3,7.5,.574,2.5,3.2,.789,3.3,6.0,9.4,1.9,1.6,0.2,1.7,2.3,19.1,,120,122,beysa01
41,Goga Bitadze,C,24,ORL,24,20,506,6.8,11.3,.597,0.1,0.5,.200,6.7,10.8,.614,3.2,4.6,.708,5.2,9.1,14.4,4.0,1.5,3.8,1.9,5.3,16.8,,131,106,bitadgo01
42,Onuralp Bitim,SG,24,CHI,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,126,bitimon01
43,Bismack Biyombo,C,31,MEM,19,18,493,5.0,8.5,.586,0.0,0.0,,5.0,8.5,.586,1.9,3.6,.514,4.2,8.6,12.9,3.6,0.7,2.3,2.6,5.7,11.9,,114,113,biyombi01
44,Anthony Black,PG,20,ORL,24,20,469,4.9,9.9,.500,1.1,3.6,.314,3.8,6.3,.607,1.6,2.9,.571,1.6,4.5,6.2,4.2,0.9,0.8,2.2,5.1,12.6,,111,114,blackan01
45,Leaky Black,SF,24,CHO,7,0,40,6.1,9.7,.625,1.2,2.4,.500,4.9,7.3,.667,0.0,0.0,,2.4,6.1,8.5,4.9,2.4,3.6,1.2,2.4,13.4,,139,117,blackle01
46,Bogdan Bogdanović,SG,31,ATL,25,2,701,10.7,22.9,.469,5.8,14.0,.413,4.9,8.8,.557,2.5,2.7,.925,0.7,5.1,5.7,4.5,2.4,0.5,2.0,4.5,29.8,,125,120,bogdabo01
47,Bojan Bogdanović,PF,34,DET,8,7,251,11.0,22.2,.496,4.8,11.2,.424,6.3,11.0,.569,5.3,7.0,.757,0.8,2.7,3.4,3.8,1.7,0.0,2.9,2.3,32.1,,118,123,bogdabo02
48,Bol Bol,PF,24,PHO,6,0,15,6.6,9.9,.667,0.0,3.3,.000,6.6,6.6,1.000,0.0,0.0,,0.0,9.9,9.9,0.0,0.0,3.3,6.6,3.3,13.1,,68,115,bolbo01
49,Marques Bolden,C,25,MIL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,31.4,31.4,0.0,0.0,0.0,0.0,15.7,0.0,,,105,boldema01
50,Devin Booker,SG,27,PHO,18,18,643,12.9,27.2,.476,2.8,7.2,.383,10.2,20.0,.510,9.9,10.9,.908,1.2,6.5,7.7,11.3,0.9,0.6,4.2,4.8,38.5,,123,118,bookede01
51,Brandon Boston Jr.,SF,22,LAC,2,0,11,17.8,31.1,.571,4.4,13.3,.333,13.3,17.8,.750,0.0,0.0,,0.0,8.9,8.9,8.9,0.0,0.0,4.4,13.3,40.0,,117,116,bostobr01
52,Chris Boucher,PF,31,TOR,25,0,354,7.4,16.5,.450,2.2,6.5,.340,5.2,10.1,.521,5.0,6.5,.766,4.1,8.8,13.0,1.1,1.1,2.2,1.7,5.5,22.1,,118,113,bouchch01
53,James Bouknight,SG,23,CHO,3,0,18,16.2,29.7,.545,13.5,27.0,.500,2.7,2.7,1.000,0.0,0.0,,2.7,8.1,10.8,0.0,0.0,0.0,2.7,2.7,45.9,,125,126,bouknja01
54,Jamaree Bouyea,PG,24,POR,6,0,57,4.3,18.1,.238,0.0,6.9,.000,4.3,11.2,.385,0.0,0.0,,1.7,6.9,8.6,6.9,0.0,0.0,6.9,2.6,8.6,,55,120,bouyeja01
55,Malaki Branham,SG,20,SAS,26,14,578,7.8,17.5,.444,2.2,6.9,.318,5.6,10.6,.527,1.1,1.2,.933,0.5,3.2,3.7,5.1,0.9,0.3,2.5,2.8,18.9,,101,123,branhma01
56,Christian Braun,SG,22,DEN,29,0,587,8.1,16.9,.478,1.7,4.4,.385,6.4,12.5,.510,3.1,4.1,.755,1.9,7.4,9.3,4.4,1.0,0.8,1.9,4.2,21.0,,116,115,braunch01
57,Mikal Bridges,SF,27,BRK,27,27,938,10.8,23.7,.457,3.1,8.3,.377,7.7,15.4,.500,5.7,6.7,.852,1.5,6.2,7.6,5.2,1.4,0.6,3.4,2.3,30.4,,114,118,bridgmi01
58,Miles Bridges,SF,25,CHO,15,13,544,9.9,21.1,.470,2.4,7.2,.333,7.5,13.8,.542,4.0,4.7,.849,1.2,8.1,9.4,3.3,1.9,0.3,2.2,2.9,26.2,,112,121,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,0,130,4.2,9.4,.440,1.1,4.2,.273,3.0,5.3,.571,3.4,5.3,.643,4.2,6.8,10.9,2.3,1.9,0.0,1.5,4.9,12.8,,121,112,brissos01
60,Malcolm Brogdon,PG,31,POR,19,10,519,10.0,23.8,.421,3.8,9.7,.388,6.2,14.1,.443,4.1,5.3,.768,1.4,4.9,6.3,9.7,1.3,0.3,2.7,2.3,27.9,,116,118,brogdma01
61,Armoni Brooks,PG,25,BRK,7,0,64,6.9,20.6,.333,5.3,14.5,.368,1.5,6.1,.250,0.0,0.0,,3.1,6.1,9.2,2.3,0.0,0.8,0.8,0.8,19.1,,106,121,brookar01
62,Dillon Brooks,SF,28,HOU,25,25,795,8.1,16.8,.483,3.1,7.4,.417,5.0,9.4,.536,2.7,3.3,.830,1.2,4.3,5.5,2.5,1.5,0.1,2.9,6.2,22.1,,109,113,brookdi01
63,Bruce Brown,SG,27,IND,26,26,800,6.7,14.5,.460,1.6,5.2,.300,5.1,9.3,.549,2.9,3.6,.806,1.1,5.8,6.9,4.4,1.7,0.3,1.8,3.7,17.8,,114,122,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,0,2,0.0,24.8,.000,0.0,24.8,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,,0,124,brownch02
65,Greg Brown III,PF,22,DAL,3,0,11,8.7,8.7,1.000,0.0,0.0,,8.7,8.7,1.000,4.4,21.8,.200,4.4,4.4,8.7,4.4,0.0,0.0,4.4,4.4,21.8,,101,123,browngr01
66,Jaylen Brown,SF,27,BOS,26,26,884,12.8,26.8,.478,3.1,9.3,.333,9.7,17.5,.556,4.1,5.4,.745,1.1,5.9,7.0,5.4,1.6,1.0,3.4,4.1,32.8,,111,112,brownja02
67,Kobe Brown,PF,24,LAC,17,0,164,4.5,11.9,.375,2.4,7.8,.308,2.1,4.2,.500,0.3,0.6,.500,1.8,6.9,8.7,2.4,0.6,0.9,0.9,8.9,11.6,,106,115,brownko01
68,Moses Brown,C,24,POR,5,0,35,8.4,16.8,.500,0.0,0.0,,8.4,16.8,.500,0.0,2.8,.000,11.2,14.0,25.2,1.4,1.4,1.4,1.4,2.8,16.8,,113,110,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,3,334,6.3,13.6,.462,3.6,9.3,.391,2.6,4.2,.621,2.5,2.9,.850,1.9,6.6,8.5,3.6,0.9,0.3,2.0,2.5,18.7,,122,111,browntr01
70,Jalen Brunson,PG,27,NYK,27,27,958,12.4,26.3,.472,4.2,9.1,.458,8.2,17.1,.480,6.3,7.8,.801,1.0,4.5,5.6,8.2,1.6,0.1,3.2,2.9,35.3,,123,117,brunsja01
71,Thomas Bryant,C,26,MIA,18,3,223,8.9,15.9,.556,0.0,0.7,.000,8.9,15.3,.580,3.8,4.4,.850,4.9,10.4,15.3,2.4,1.3,1.1,3.3,5.1,21.5,,114,113,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,0,4,0.0,35.5,.000,0.0,11.8,.000,0.0,23.7,.000,11.8,23.7,.500,11.8,11.8,23.7,0.0,0.0,0.0,0.0,0.0,11.8,,52,122,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,0,93,3.7,10.6,.350,3.2,9.0,.353,0.5,1.6,.333,0.5,0.5,1.000,1.1,5.8,6.9,1.6,0.5,0.5,1.1,3.7,11.1,,104,113,bullore01
74,Alec Burks,SG,32,DET,20,0,359,6.9,20.9,.331,4.3,12.4,.344,2.7,8.5,.313,6.5,7.4,.875,1.3,4.5,5.8,3.9,1.1,0.5,1.1,3.7,24.6,,113,122,burksal01
75,Jared Butler,SG,23,WAS,13,0,103,8.5,17.0,.500,2.7,8.1,.333,5.8,9.0,.650,4.9,5.8,.846,0.0,4.0,4.0,9.9,3.1,0.4,4.5,6.3,24.6,,115,120,butleja02
76,Jimmy Butler,PF,34,MIA,23,23,783,9.7,21.0,.462,1.3,3.3,.377,8.5,17.7,.479,10.5,12.0,.879,2.8,4.7,7.5,6.7,1.6,0.6,2.6,1.6,31.2,,125,116,butleji01
77,Jamal Cain,PF,24,MIA,8,0,113,5.7,12.7,.448,1.7,6.6,.267,3.9,6.1,.643,3.1,4.8,.636,2.2,3.1,5.2,0.4,2.6,0.9,0.9,2.6,16.2,,112,114,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,27,880,5.6,12.0,.465,2.2,5.3,.415,3.4,6.7,.504,2.6,2.9,.902,0.6,2.4,3.0,3.8,2.1,0.7,1.7,3.0,15.9,,119,116,caldwke01
79,Toumani Camara,PF,23,POR,26,17,658,5.2,12.7,.412,1.8,5.9,.304,3.4,6.8,.505,1.9,2.8,.676,3.9,5.4,9.2,2.0,1.9,1.0,2.1,5.6,14.1,,106,115,camarto01
80,Clint Capela,C,29,ATL,26,26,670,9.2,15.7,.583,0.0,0.0,,9.2,15.7,.583,3.3,4.8,.691,9.1,10.5,19.6,2.1,1.3,3.2,1.5,4.9,21.7,,136,116,capelca01
81,Jevon Carter,PG,28,CHI,29,0,414,7.3,19.3,.377,4.4,12.5,.350,2.9,6.8,.429,0.0,0.1,.000,0.5,1.9,2.4,4.2,1.8,0.8,2.1,4.2,18.9,,99,119,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,6,170,5.7,13.9,.408,1.7,5.1,.333,4.0,8.8,.452,2.5,4.5,.563,3.4,10.5,13.9,2.5,0.8,0.6,2.3,4.8,15.6,,102,111,cartewe01
83,Alex Caruso,SG,29,CHI,23,11,533,7.4,13.5,.549,3.5,7.4,.468,4.0,6.1,.646,2.4,3.2,.765,2.5,4.8,7.3,5.0,2.5,1.8,3.1,4.9,20.8,,126,115,carusal01
84,Colin Castleton,C,23,LAL,4,0,28,8.5,13.6,.625,0.0,0.0,,8.5,13.6,.625,3.4,3.4,1.000,5.1,6.8,11.9,5.1,0.0,0.0,0.0,8.5,20.5,,155,117,castlco01
85,Malcolm Cazalon,SG,22,DET,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,128,cazalma01
86,Julian Champagnie,SF,22,SAS,19,5,244,6.3,16.5,.384,4.8,12.3,.391,1.5,4.2,.364,1.5,2.1,.727,1.2,4.2,5.4,2.9,1.3,2.3,2.5,3.1,19.0,,100,119,champju02
87,Max Christie,SG,20,LAL,22,6,362,4.7,12.3,.387,1.7,5.7,.302,3.0,6.6,.460,1.3,1.8,.714,0.4,6.7,7.1,2.9,1.1,0.5,2.0,4.0,12.5,,92,115,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,,0,127,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,19,586,9.5,23.8,.399,2.6,8.7,.295,6.9,15.1,.459,4.5,5.5,.833,2.0,3.3,5.3,7.8,1.3,0.2,4.7,2.2,26.1,,102,123,clarkjo01
90,Nic Claxton,C,24,BRK,18,18,487,9.3,14.4,.646,0.1,0.1,1.000,9.2,14.3,.643,2.5,3.9,.641,5.7,10.8,16.5,2.5,0.7,4.5,1.6,4.9,21.2,,135,112,claxtni01
91,Noah Clowney,PF,19,BRK,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.3,16.3,0.0,0.0,0.0,0.0,0.0,0.0,,,115,clownno01
92,Amir Coffey,SF,26,LAC,15,2,171,4.3,10.9,.395,2.0,6.6,.304,2.3,4.3,.533,2.9,3.1,.909,1.1,4.9,6.0,2.6,0.6,0.0,1.7,4.9,13.4,,111,118,coffeam01
93,John Collins,PF,26,UTA,24,22,726,8.7,17.9,.485,2.4,5.9,.404,6.3,11.9,.525,3.3,4.3,.766,4.0,9.1,13.1,1.3,1.0,1.5,2.5,4.3,23.0,,115,118,collijo01
94,Zach Collins,C,26,SAS,26,21,701,8.5,17.7,.481,2.0,6.6,.306,6.5,11.1,.584,3.7,4.5,.809,3.5,7.0,10.5,5.9,1.1,1.1,4.3,5.8,22.7,,107,119,colliza01
95,Mike Conley,PG,36,MIN,26,26,765,6.2,13.6,.458,3.7,8.5,.436,2.5,5.2,.494,2.5,2.6,.951,0.6,4.0,4.6,10.1,1.5,0.1,1.9,2.8,18.6,,134,111,conlemi01
96,Pat Connaughton,SF,31,MIL,21,0,464,4.4,10.6,.413,2.3,7.0,.333,2.0,3.6,.571,0.9,1.3,.692,1.4,5.9,7.3,4.5,1.1,0.4,1.5,2.2,12.0,,115,118,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,1,673,6.0,11.4,.521,2.2,5.3,.416,3.8,6.2,.611,2.1,3.2,.638,1.2,5.8,7.0,2.9,1.8,1.2,2.7,3.2,16.2,,109,121,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,6,432,4.4,10.0,.438,2.1,5.8,.365,2.2,4.1,.541,2.4,2.7,.875,3.2,6.6,9.9,2.2,3.7,1.9,1.1,5.2,13.2,,129,106,covinro01
98,Robert Covington,PF,33,LAC,3,3,69,2.1,6.4,.333,1.4,5.7,.250,0.7,0.7,1.000,0.7,1.4,.500,1.4,4.3,5.7,5.0,4.3,1.4,0.0,5.0,6.4,,131,108,covinro01
98,Robert Covington,SF,33,PHI,22,3,363,4.8,10.6,.450,2.3,5.9,.386,2.5,4.8,.528,2.7,2.9,.909,3.6,7.0,10.6,1.7,3.6,2.0,1.3,5.2,14.5,,128,106,covinro01
99,Torrey Craig,SF,33,CHI,27,7,572,5.2,12.2,.424,2.5,6.7,.382,2.6,5.5,.476,1.6,2.0,.783,4.4,7.0,11.4,2.5,1.5,0.9,1.4,6.0,14.5,,120,117,craigto01
100,Jae Crowder,PF,33,MIL,9,2,240,4.9,9.2,.532,3.1,6.1,.516,1.8,3.1,.563,1.4,2.4,.583,0.8,6.1,6.9,2.9,1.4,0.6,0.8,2.7,14.3,,139,117,crowdja01
101,Cade Cunningham,PG,22,DET,27,27,935,11.4,26.2,.434,2.6,7.9,.325,8.8,18.4,.481,5.3,6.0,.881,0.7,4.7,5.4,9.7,1.4,0.4,5.5,3.7,30.6,,103,122,cunnica01
102,Seth Curry,SG,33,DAL,21,3,251,6.3,15.9,.398,3.6,9.0,.404,2.7,6.9,.389,1.7,1.9,.900,1.9,4.0,5.9,3.6,2.1,0.6,1.1,3.6,18.0,,116,118,curryse01
103,Stephen Curry,PG,35,GSW,25,25,847,12.5,27.0,.464,6.9,16.6,.416,5.6,10.3,.541,8.4,9.0,.936,0.8,5.9,6.7,6.3,1.0,0.5,4.8,2.6,40.3,,122,117,curryst01
104,Dyson Daniels,PG,20,NOP,28,13,666,4.9,12.3,.398,1.4,5.4,.253,3.5,6.9,.510,1.4,2.2,.667,2.1,6.6,8.6,5.9,2.9,0.7,2.2,3.6,12.6,,105,111,daniedy01
105,Anthony Davis,C,30,LAL,26,26,919,12.3,22.4,.546,0.4,1.1,.333,11.9,21.4,.557,7.6,9.4,.811,4.7,12.4,17.0,4.0,1.6,3.4,2.6,3.5,32.5,,123,106,davisan02
106,Johnny Davis,SG,21,WAS,14,0,128,6.8,14.4,.475,0.4,1.1,.333,6.5,13.3,.486,1.4,1.8,.800,2.9,4.0,6.8,1.8,2.5,0.4,1.8,3.6,15.5,,102,122,davisjo06
107,Dexter Dennis,SG,24,DAL,2,0,7,13.7,41.1,.333,0.0,20.6,.000,13.7,20.6,.667,0.0,6.9,.000,6.9,6.9,13.7,0.0,0.0,0.0,0.0,0.0,27.4,,74,122,dennide01
108,DeMar DeRozan,SF,34,CHI,27,27,982,10.7,23.6,.451,1.3,3.6,.357,9.4,20.1,.468,8.2,10.0,.826,1.1,4.0,5.1,7.4,1.5,1.2,2.0,3.1,30.8,,119,118,derozde01
109,Moussa Diabaté,C,22,LAC,9,0,55,8.0,16.0,.500,0.0,0.0,,8.0,16.0,.500,8.0,10.7,.750,12.5,4.4,16.9,3.6,3.6,0.0,1.8,3.6,24.0,,137,111,diabamo01
110,Gradey Dick,SG,20,TOR,17,1,227,4.1,14.4,.284,2.4,9.5,.250,1.7,4.9,.348,3.0,3.0,1.000,1.5,3.2,4.7,3.2,0.9,0.0,2.6,5.2,13.5,,91,120,dickgr01
111,Ousmane Dieng,PF,20,OKC,16,0,183,6.0,14.1,.426,3.1,9.6,.324,2.9,4.4,.647,2.1,2.6,.800,1.8,5.5,7.3,4.2,0.3,0.0,1.6,2.6,17.2,,117,117,diengou01
112,Spencer Dinwiddie,PG,30,BRK,26,26,827,7.4,18.4,.404,3.2,10.1,.322,4.2,8.3,.504,4.5,5.8,.786,0.8,5.4,6.3,10.4,1.4,0.4,2.7,2.5,22.7,,119,119,dinwisp01
113,Donte DiVincenzo,SG,27,NYK,27,9,556,8.0,17.6,.455,5.7,12.7,.448,2.3,4.9,.473,1.9,2.6,.724,1.8,5.4,7.2,4.3,2.4,0.7,2.3,4.0,23.6,,124,114,divindo01
114,Luka Dončić,PG,24,DAL,26,26,962,14.6,30.0,.485,5.0,13.3,.376,9.6,16.8,.571,8.3,10.7,.776,1.0,9.9,10.9,11.8,1.6,0.6,5.2,2.3,42.4,,121,115,doncilu01
115,Luguentz Dort,SF,24,OKC,24,24,671,5.9,13.2,.446,2.9,7.2,.406,3.0,6.0,.494,3.6,4.3,.820,2.2,4.6,6.8,2.1,1.5,1.4,1.6,5.1,18.3,,120,114,dortlu01
