Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
431,Jalen Suggs,SG,22,ORL,24,24,624,8.1,17.2,.471,3.1,8.3,.374,5.0,8.9,.560,3.7,4.5,.828,1.1,5.3,6.4,4.6,3.1,1.2,3.5,5.0,23.0,,111,108,suggsja01
432,Cole Swider,SF,24,MIA,3,0,29,10.2,23.8,.429,6.8,18.7,.364,3.4,5.1,.667,0.0,0.0,,0.0,1.7,1.7,5.1,1.7,1.7,1.7,1.7,27.3,,111,116,swideco01
433,Jae'Sean Tate,SF,28,HOU,23,0,410,5.5,11.8,.469,1.7,4.8,.350,3.8,7.0,.552,1.2,1.7,.714,2.9,6.5,9.4,3.1,2.3,0.7,1.2,6.6,13.9,,119,109,tateja01
434,Jayson Tatum,PF,25,BOS,26,26,957,12.4,26.1,.476,3.9,11.4,.345,8.5,14.6,.579,7.0,8.8,.795,1.2,10.4,11.6,5.6,1.3,0.7,3.9,2.9,35.7,,116,110,tatumja01
435,Terry Taylor,PF,24,CHI,7,0,13,7.7,7.7,1.000,0.0,0.0,,7.7,7.7,1.000,0.0,0.0,,3.9,3.9,7.7,0.0,3.9,0.0,0.0,0.0,15.4,,205,115,taylote01
436,Garrett Temple,SG,37,TOR,6,0,19,10.3,12.8,.800,2.6,2.6,1.000,7.7,10.3,.750,5.1,5.1,1.000,0.0,5.1,5.1,7.7,2.6,0.0,0.0,0.0,28.2,,196,115,templga01
437,Dalen Terry,SG,21,CHI,13,0,99,3.5,9.6,.368,1.0,5.6,.182,2.5,4.1,.625,1.0,2.0,.500,2.0,8.1,10.1,6.1,0.5,1.5,2.0,6.1,9.1,,102,117,terryda01
438,Daniel Theis,C,31,TOT,17,0,283,7.8,16.9,.459,1.4,3.1,.444,6.4,13.8,.463,2.9,4.1,.708,5.0,6.2,11.2,2.6,1.2,2.6,1.6,7.6,19.8,,117,112,theisda01
438,Daniel Theis,C,31,IND,1,0,8,5.8,23.1,.250,0.0,5.8,.000,5.8,17.3,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,11.5,,55,130,theisda01
438,Daniel Theis,C,31,LAC,16,0,275,7.8,16.7,.468,1.4,3.0,.471,6.4,13.7,.468,3.0,4.3,.708,5.2,6.4,11.6,2.7,1.2,2.7,1.6,7.6,20.1,,119,112,theisda01
439,Cam Thomas,SG,22,BRK,18,16,570,13.8,30.3,.455,3.9,9.9,.388,9.9,20.4,.487,5.7,6.9,.838,0.5,4.5,5.0,3.8,0.9,0.8,2.8,3.2,37.2,,111,120,thomaca02
440,Amen Thompson,SF,21,HOU,6,0,86,6.3,14.9,.423,1.1,6.9,.167,5.2,8.0,.643,2.9,4.6,.625,1.7,8.6,10.3,4.0,1.1,0.6,3.4,6.3,16.6,,94,110,thompam01
441,Ausar Thompson,SF,21,DET,27,23,728,7.4,16.0,.463,0.5,3.5,.151,6.9,12.5,.550,2.4,3.4,.692,4.8,9.6,14.3,4.3,1.6,2.0,3.1,6.1,17.7,,105,116,thompau01
442,Klay Thompson,SF,33,GSW,26,26,794,9.3,22.1,.419,5.0,13.3,.376,4.3,8.8,.483,3.6,4.0,.908,0.9,5.2,6.2,3.5,0.8,0.8,2.7,3.4,27.1,,111,118,thompkl01
