Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
55,Malaki Branham,SG,20,SAS,26,578,8.6,.523,.394,.069,1.1,7.5,4.2,15.7,0.9,0.6,12.2,18.3,,-0.3,0.1,-0.2,-0.017,,-3.6,-1.9,-5.5,-0.5,branhma01
56,Christian Braun,SG,22,DEN,29,587,13.0,.559,.259,.244,4.3,16.4,10.4,11.7,1.0,1.3,9.0,17.9,,0.6,0.6,1.2,.098,,-1.3,-0.4,-1.7,0.0,braunch01
57,Mikal Bridges,SF,27,BRK,27,938,16.7,.572,.349,.281,3.1,13.4,8.2,16.0,1.4,1.1,11.4,26.1,,1.0,0.7,1.7,.087,,0.9,-0.8,0.1,0.5,bridgmi01
58,Miles Bridges,SF,25,CHO,15,544,15.4,.567,.343,.225,2.8,19.4,10.7,10.2,1.9,0.5,8.8,22.4,,0.4,0.2,0.6,.052,,-0.8,-1.2,-2.0,0.0,bridgmi02
59,Oshae Brissett,SF,25,BOS,13,130,10.4,.546,.440,.560,9.5,14.3,12.0,5.8,1.9,0.0,11.4,11.7,,0.1,0.2,0.3,.118,,-2.9,0.7,-2.2,0.0,brissos01
60,Malcolm Brogdon,PG,31,POR,19,519,17.0,.533,.409,.222,3.1,12.0,7.3,32.6,1.3,0.5,9.5,24.9,,0.7,0.4,1.1,.101,,2.7,-0.5,2.2,0.5,brogdma01
61,Armoni Brooks,PG,25,BRK,7,64,9.3,.463,.704,.000,6.6,13.2,9.9,6.3,0.0,1.4,3.6,18.5,,0.0,0.0,0.0,.019,,-1.3,-2.9,-4.2,0.0,brookar01
62,Dillon Brooks,SF,28,HOU,25,795,10.4,.605,.443,.196,2.7,9.3,6.1,7.7,1.5,0.1,13.5,18.7,,0.2,1.1,1.3,.080,,-2.9,0.3,-2.5,-0.1,brookdi01
63,Bruce Brown,SG,27,IND,26,800,11.3,.553,.357,.246,2.7,14.8,8.7,11.1,1.7,0.6,10.0,15.9,,0.6,0.2,0.8,.046,,-1.9,-1.1,-3.0,-0.2,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,2,-69.1,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,63.5,,-0.1,0.0,-0.1,-1.893,,-41.5,-23.7,-65.2,0.0,brownch02
