player_id,league_id,season,game_type,games_played,games_started,minutes,total_seconds,fgm,fga,fg_pct,2fgm,2fga,2fg_pct,3fgm,3fga,3fg_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,techs,plusminus,pts,pfd
2146,NBA,2022,regular,78,17,2222.38,133342.8,413,951,0.434,313,641,0.488299532,100,310,0,376,454,0.828,87,231,318,116,152,48,13,84,162,0,-179,1302,305
2147,NBA,2022,regular,28,5,422.575,25354.5,66,171,0.386,49,101,0.485148515,17,70,0,14,27,0.519,10,55,65,28,17,10,8,9,48,0,-54,163,19
2148,NBA,2022,regular,72,12,1401.435,84086.1,248,533,0.465,147,274,0.53649635,101,259,0,42,47,0.894,37,116,153,73,42,42,12,22,87,0,63,639,40
2149,NBA,2022,regular,31,2,432.7133333,25962.8,58,160,0.363,39,80,0.4875,19,80,0,10,18,0.556,2,43,45,47,14,15,2,4,29,0,-47,145,18
2150,NBA,2022,regular,41,3,512.425,30745.5,44,106,0.415,18,44,0.409090909,26,62,0,14,16,0.875,7,68,75,21,13,9,7,6,33,0,-77,128,10
2150,NBA,2022,playoffs,9,,33.07333333,1984.4,5,10,0.5,4,6,0.666666667,1,4,0,2,4,0.5,1,6,7,3,0,0,1,0,0,,16,13,2
2151,NBA,2022,regular,12,0,65.70666667,3942.4,8,19,0.421,6,12,0.5,2,7,0,1,2,0.5,2,7,9,11,4,2,2,1,5,0,-6,19,2
2152,NBA,2022,regular,15,0,96.22333333,5773.4,18,36,0.5,16,30,0.533333333,2,6,0,8,8,1,5,20,25,5,3,4,6,6,10,0,24,46,5
2152,NBA,2022,playoffs,1,,6.316666667,379,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,,-4,0,0
2153,NBA,2022,regular,9,0,47.5,2850,8,16,0.5,5,7,0.714285714,3,9,0,1,1,1,3,4,7,4,0,0,1,1,3,0,19,20,1
2154,NBA,2022,regular,15,1,104.59,6275.4,12,40,0.3,8,12,0.666666667,4,28,0,2,2,1,4,11,15,4,5,6,2,1,12,0,-34,30,3
2155,NBA,2022,regular,17,0,66.03333333,3962,8,19,0.421,5,10,0.5,3,9,0,2,3,0.667,6,11,17,4,2,3,2,2,9,0,-17,21,2
2258,NBA,2022,regular,1,0,40.78333333,2447,1,3,0.333,0,0,,1,3,0,0,0,0,0,4,4,7,2,3,0,0,3,0,-13,3,0
2259,NBA,2022,regular,19,1,221.1016667,13266.1,17,53,0.321,9,18,0.5,8,35,0,3,4,0.75,3,14,17,11,1,7,9,2,22,0,-70,45,5
2263,NBA,2022,regular,6,0,40.295,2417.7,4,7,0.571,4,6,0.666666667,0,1,0,1,2,0.5,2,4,6,3,2,4,0,1,9,0,4,9,2
2273,NBA,2022,regular,1,0,35.08333333,2105,6,12,0.5,4,7,0.571428571,2,5,0,2,2,1,3,6,9,7,4,0,1,0,5,0,-14,16,1
2275,NBA,2022,regular,1,0,2.116666667,127,0,1,0,0,0,,0,1,0,2,2,1,0,0,0,0,0,1,1,0,0,0,3,2,1
2303,NBA,2022,regular,5,4,126.5666667,7594,24,39,0.615,21,31,0.677419355,3,8,0,2,3,0.667,10,5,15,10,4,3,2,2,13,0,-38,53,2
2308,NBA,2022,regular,2,0,4.25,255,2,5,0.4,2,3,0.666666667,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,4,0
2324,NBA,2022,regular,1,0,20.78333333,1247,3,5,0.6,3,5,0.6,0,0,0,1,4,0.25,2,1,3,0,0,0,1,0,0,0,-29,7,4
2427,NBA,2022,regular,4,0,88.85,5331,7,23,0.304,4,11,0.363636364,3,12,0,0,1,0,3,12,15,4,4,2,5,0,9,0,-20,17,1
2428,NBA,2022,regular,10,1,125.7833333,7547,17,28,0.607,17,27,0.62962963,0,1,0,4,10,0.4,16,22,38,6,8,6,4,3,13,0,19,38,9
