,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
265,Isaiah Livers,PF,25,DET,13,266,.284,20.1,,.338,.108,.095,.027,.108,.662,,.360,.625,.143,.000,.375,.245,,.778,1.000,,.027,2,,.306,.067,,1,0,liveris01
266,Chris Livingston,SF,20,MIL,5,21,.750,9.9,,.750,.250,.500,.000,.000,.250,,.667,1.000,.500,,,1.000,,.500,1.000,,.000,0,,1.000,1.000,,0,0,livinch01
267,Kenneth Lofton Jr.,PF,21,MEM,15,99,.378,13.3,,.730,.189,.216,.216,.108,.270,,.407,.714,.500,.250,.000,.300,,.545,1.000,,.081,3,,.100,.000,,0,0,loftoke01
268,Kevon Looney,C,27,GSW,27,588,.560,3.9,,1.000,.431,.514,.028,.028,.000,,.560,.638,.518,.333,.333,,,.738,,,.147,13,,,,,0,0,looneke01
269,Brook Lopez,C,35,MIL,27,829,.491,16.1,,.487,.251,.125,.089,.022,.513,,.652,.838,.412,.458,.667,.338,,.709,1.000,,.055,14,,.194,.407,,0,0,lopezbr01
270,Robin Lopez,C,35,MIL,7,21,.250,20.8,,.250,.000,.250,.000,.000,.750,,.000,,.000,,,.333,,,1.000,,.000,0,,.333,1.000,,0,0,lopezro01
271,Kevin Love,PF,35,MIA,21,404,.427,20.8,,.260,.133,.067,.013,.047,.740,,.590,.800,.500,.500,.143,.369,,.565,.976,,.000,0,,.117,.385,,0,0,loveke01
272,Kyle Lowry,PG,37,MIA,26,764,.451,19.9,,.313,.104,.121,.049,.038,.687,,.474,.579,.455,.111,.714,.440,,.407,.818,,.000,0,,.208,.615,,1,0,lowryky01
273,Seth Lundy,SF,23,ATL,2,10,.500,20.8,,.500,.000,.000,.000,.500,.500,,1.000,,,,1.000,.000,,1.000,,,.000,0,,1.000,.000,,0,0,lundyse01
274,Trey Lyles,PF,28,SAC,13,260,.408,20.9,,.239,.169,.056,.014,.000,.761,,.706,.833,.250,1.000,,.315,,.667,1.000,,.028,2,,.315,.412,,2,0,lylestr01
275,Théo Maledon,PG,22,CHO,13,200,.288,15.6,,.545,.212,.197,.091,.045,.455,,.389,.571,.308,.333,.000,.167,,.643,1.000,,.000,0,,.233,.286,,2,0,maledth01
276,Sandro Mamukelashvili,C,24,SAS,11,84,.360,17.7,,.400,.240,.120,.040,.000,.600,,.500,.500,.333,1.000,,.267,,.800,1.000,,.080,2,,.200,.000,,1,0,mamuksa01
277,Terance Mann,SG,27,LAC,21,559,.431,15.0,,.538,.231,.146,.131,.031,.462,,.600,.900,.316,.471,.250,.233,,.643,1.000,,.085,9,,.550,.212,,1,0,mannte01
278,Tre Mann,PG,22,OKC,9,92,.500,14.1,,.594,.313,.125,.063,.094,.406,,.579,.600,.500,.500,.667,.385,,.273,.600,,.000,0,,.154,.500,,0,0,manntr01
279,Boban Marjanović,C,35,HOU,3,20,.556,8.3,,.889,.333,.444,.111,.000,.111,,.625,1.000,.250,1.000,,.000,,.600,,,.333,3,,.000,,,0,0,marjabo01
280,Lauri Markkanen,PF,26,UTA,19,629,.484,16.0,,.500,.168,.235,.058,.039,.500,,.587,.808,.534,.333,.333,.381,,.758,.966,,.081,25,,.200,.355,,1,0,markkla01
281,Naji Marshall,SF,26,NOP,19,380,.452,15.4,,.522,.217,.226,.052,.026,.478,,.467,.600,.385,.333,.333,.436,,.571,.958,,.026,3,,.473,.577,,3,1,marshna01
282,Caleb Martin,SF,28,MIA,18,485,.443,12.9,,.661,.273,.230,.082,.077,.339,,.479,.580,.405,.200,.643,.371,,.586,.870,,.055,8,,.323,.400,,1,0,martica02
283,KJ Martin,SF,23,TOT,16,112,.464,7.2,,.786,.500,.286,.000,.000,.214,,.545,.714,.250,,,.167,,.917,1.000,,.286,6,,.667,.250,,0,0,martike04
283,KJ Martin,SF,23,LAC,2,31,.400,13.5,,.500,.200,.300,.000,.000,.500,,.600,1.000,.333,,,.200,,1.000,1.000,,.200,2,,.600,.333,,0,0,martike04
283,KJ Martin,SF,23,PHI,14,81,.500,3.8,,.944,.667,.278,.000,.000,.056,,.529,.667,.200,,,.000,,.889,,,.333,4,,1.000,.000,,0,0,martike04
284,Garrison Mathews,SG,27,ATL,15,164,.469,25.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.469,,,1.000,,.000,0,,.281,.333,,0,0,mathega01
285,Bennedict Mathurin,SF,21,IND,26,664,.452,12.0,,.690,.290,.259,.076,.066,.310,,.480,.548,.413,.500,.421,.389,,.656,.800,,.031,7,,.144,.538,,0,0,mathube01
286,Wesley Matthews,SG,37,ATL,16,192,.263,20.9,,.237,.132,.026,.053,.026,.763,,.444,.600,.000,.500,.000,.207,,1.000,1.000,,.000,0,,.414,.333,,0,0,matthwe02
287,Tyrese Maxey,PG,23,PHI,26,962,.462,15.2,,.573,.212,.226,.087,.048,.427,,.509,.626,.456,.386,.458,.400,,.354,.663,,.002,1,,.065,.714,,1,0,maxeyty01
288,Skylar Mays,PG,26,POR,15,290,.406,14.7,,.613,.142,.255,.179,.038,.387,,.477,.400,.481,.474,.750,.293,,.161,.917,,.019,1,,.098,.250,,0,0,mayssk01
289,Miles McBride,PG,23,NYK,17,81,.500,18.8,,.346,.154,.038,.115,.038,.654,,.667,1.000,.000,.667,.000,.412,,.167,.857,,.000,0,,.412,.429,,0,0,mcbrimi01
290,CJ McCollum,PG,32,NOP,15,497,.464,16.7,,.519,.119,.200,.136,.064,.481,,.484,.500,.468,.531,.400,.442,,.407,.800,,.000,0,,.133,.467,,0,0,mccolcj01
291,T.J. McConnell,PG,31,IND,20,317,.522,8.7,,.926,.257,.390,.250,.029,.074,,.556,.743,.585,.353,.250,.100,,.214,1.000,,.000,0,,.300,.333,,1,0,mccontj01
292,Jaden McDaniels,SF,23,MIN,16,397,.563,12.4,,.675,.278,.198,.127,.071,.325,,.647,.743,.640,.688,.222,.390,,.527,1.000,,.095,9,,.463,.474,,0,0,mcdanja02
293,Jalen McDaniels,SF,26,TOR,16,141,.265,15.4,,.510,.163,.245,.061,.041,.490,,.360,.625,.250,.333,.000,.167,,.667,1.000,,.041,2,,.250,.167,,0,0,mcdanja01
294,Doug McDermott,SF,32,SAS,24,395,.440,20.9,,.233,.138,.043,.017,.034,.767,,.407,.500,.000,.500,.500,.449,,1.000,.950,,.017,2,,.191,.412,,0,0,mcderdo01
295,JaVale McGee,C,36,SAC,23,200,.676,4.6,,.986,.380,.563,.042,.000,.014,,.686,.815,.650,.000,,.000,,.792,,,.310,20,,.000,,,0,0,mcgeeja01
296,Bryce McGowens,SG,21,CHO,21,367,.457,15.5,,.457,.272,.136,.037,.012,.543,,.541,.636,.455,.333,.000,.386,,.450,1.000,,.037,3,,.432,.526,,0,0,mcgowbr01
297,Jordan McLaughlin,PG,27,MIN,9,35,.400,22.4,,.400,.000,.200,.200,.000,.600,,.000,,.000,.000,,.667,,,.500,,.000,0,,.333,.000,,1,1,mclaujo01
298,De'Anthony Melton,SG,25,PHI,27,777,.395,17.2,,.429,.195,.149,.042,.042,.571,,.429,.510,.385,.273,.364,.369,,.479,.836,,.034,9,,.154,.261,,0,0,meltode01
299,Nathan Mensah,C,25,CHO,3,49,.500,3.3,,1.000,.500,.500,.000,.000,.000,,.500,.333,.667,,,,,.667,,,.000,0,,,,,0,0,mensana01
300,Sam Merrill,SG,27,CLE,15,164,.449,23.3,,.116,.029,.058,.029,.000,.884,,.250,.500,.250,.000,,.475,,1.000,.966,,.000,0,,.197,.667,,0,0,merrisa01
301,Chimezie Metu,C,26,PHO,17,182,.500,13.9,,.538,.327,.154,.038,.019,.462,,.643,.824,.250,1.000,.000,.333,,.833,1.000,,.192,8,,.208,.800,,0,0,metuch01
302,Vasilije Micić,PG,30,OKC,10,122,.333,19.6,,.400,.100,.100,.100,.100,.600,,.417,1.000,.000,.333,.333,.278,,.400,.800,,.000,0,,.111,.000,,0,0,micicva01
303,Khris Middleton,SF,32,MIL,22,508,.472,16.1,,.631,.120,.176,.176,.159,.369,,.537,.643,.415,.561,.568,.360,,.329,.677,,.000,0,,.140,.500,,0,0,middlkh01
304,Brandon Miller,SF,21,CHO,24,774,.437,15.1,,.611,.174,.206,.161,.070,.389,,.472,.636,.385,.451,.364,.382,,.582,.957,,.051,14,,.244,.333,,3,0,millebr02
305,Jordan Miller,SF,24,LAC,3,12,.667,14.9,,.667,.333,.000,.000,.333,.333,,.500,1.000,,,.000,1.000,,.000,1.000,,.333,1,,1.000,1.000,,0,0,millejo02
306,Leonard Miller,SF,20,MIN,3,6,.500,1.1,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,1.000,,,.000,0,,,,,0,0,millele01
307,Dariq Whitehead,SF,19,BRK,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,whiteda01
308,Patty Mills,PG,35,ATL,4,35,.300,20.6,,.300,.000,.200,.000,.100,.700,,.000,,.000,,.000,.429,,,1.000,,.000,0,,.429,.333,,0,0,millspa02
309,Shake Milton,SG,27,MIN,25,383,.374,14.0,,.634,.179,.220,.220,.016,.366,,.449,.636,.259,.444,1.000,.244,,.571,.909,,.000,0,,.356,.375,,1,0,miltosh01
310,Justin Minaya,SF,24,POR,6,38,.333,17.3,,.333,.333,.000,.000,.000,.667,,.000,.000,,,,.500,,,.500,,.000,0,,.000,,,0,0,minayju01
311,Josh Minott,SF,21,MIN,11,27,.571,10.7,,.643,.429,.214,.000,.000,.357,,.889,1.000,.667,,,.000,,.625,,,.071,1,,.400,.000,,0,0,minotjo01
312,Davion Mitchell,PG,25,SAC,20,282,.346,17.3,,.457,.074,.247,.074,.062,.543,,.432,.333,.400,.333,.800,.273,,.375,.917,,.000,0,,.182,.500,,0,0,mitchda01
313,Donovan Mitchell,SG,27,CLE,22,803,.453,15.4,,.585,.235,.158,.100,.092,.415,,.526,.682,.405,.383,.488,.351,,.264,.485,,.026,9,,.046,.444,,1,0,mitchdo01
314,Evan Mobley,PF,22,CLE,21,705,.573,5.4,,.960,.532,.294,.105,.028,.040,,.588,.765,.356,.423,.286,.200,,.721,1.000,,.266,64,,.700,.143,,0,0,mobleev01
315,Isaiah Mobley,PF,24,CLE,2,10,.333,11.0,,.667,.333,.333,.000,.000,.333,,.500,1.000,.000,,,.000,,.000,,,.000,0,,1.000,.000,,0,0,mobleis01
316,Malik Monk,SG,25,SAC,26,656,.431,17.6,,.420,.156,.174,.066,.024,.580,,.446,.556,.440,.263,.286,.419,,.556,.843,,.042,11,,.132,.591,,0,0,monkma01
317,Moses Moody,SG,21,GSW,27,508,.474,15.2,,.520,.171,.251,.063,.034,.480,,.593,.733,.545,.455,.500,.345,,.630,.862,,.046,6,,.333,.286,,0,0,moodymo01
318,Xavier Moon,SG,29,LAC,2,12,.500,15.2,,.500,.000,.500,.000,.000,.500,,1.000,,1.000,,,.000,,.000,,,.000,0,,.000,,,0,0,moonxa01
319,Wendell Moore Jr.,SG,22,MIN,6,14,.333,17.3,,.333,.333,.000,.000,.000,.667,,1.000,1.000,,,,.000,,.000,,,.000,0,,.000,,,0,0,moorewe01
320,Ja Morant,PG,24,MEM,1,35,.500,8.8,,.792,.417,.333,.042,.000,.208,,.632,.700,.625,.000,,.000,,.083,,,.000,0,,.200,.000,,0,0,moranja01
321,Marcus Morris,PF,34,PHI,19,261,.506,17.6,,.554,.120,.096,.169,.169,.446,,.478,.600,.125,.643,.429,.541,,.545,.950,,.012,1,,.378,.500,,0,0,morrima03
322,Markieff Morris,PF,34,DAL,11,114,.342,19.4,,.395,.079,.105,.132,.079,.605,,.400,.333,.500,.400,.333,.304,,.667,1.000,,.000,0,,.304,.429,,0,0,morrima02
323,Trey Murphy III,SF,23,NOP,8,202,.488,18.5,,.400,.188,.125,.075,.013,.600,,.625,.867,.500,.167,1.000,.396,,.700,.947,,.075,5,,.063,.667,,0,0,murphtr02
324,Dejounte Murray,SG,27,ATL,27,927,.452,14.8,,.643,.171,.178,.197,.096,.357,,.495,.513,.506,.444,.545,.374,,.324,.623,,.011,3,,.233,.368,,0,0,murrade01
325,Jamal Murray,PG,26,DEN,15,435,.458,15.8,,.640,.147,.156,.178,.160,.360,,.472,.667,.571,.300,.389,.432,,.353,.486,,.027,6,,.111,.111,,1,0,murraja01
326,Keegan Murray,SF,23,SAC,22,705,.447,17.2,,.458,.130,.176,.102,.049,.542,,.538,.703,.520,.517,.214,.370,,.743,1.000,,.060,16,,.247,.342,,0,0,murrake02
327,Kris Murray,SF,23,POR,13,144,.324,17.6,,.351,.162,.162,.027,.000,.649,,.308,.333,.167,1.000,,.333,,.750,1.000,,.027,1,,.250,.500,,0,0,murrakr01
328,Mike Muscala,C,32,WAS,14,180,.385,18.5,,.410,.077,.154,.128,.051,.590,,.563,.667,.500,.400,1.000,.261,,1.000,1.000,,.026,1,,.261,.000,,0,0,muscami01
329,Svi Mykhailiuk,SF,26,BOS,11,83,.280,21.0,,.200,.200,.000,.000,.000,.800,,.600,.600,,,,.200,,.667,.750,,.080,1,,.200,.500,,0,0,mykhasv01
330,Larry Nance Jr.,C,31,NOP,14,211,.500,10.6,,.738,.333,.286,.119,.000,.262,,.581,.714,.500,.400,,.273,,.667,.667,,.095,3,,.455,.400,,1,0,nancela02
331,Andrew Nembhard,PG,24,IND,17,308,.456,15.0,,.675,.114,.228,.237,.096,.325,,.558,.692,.423,.593,.636,.243,,.302,1.000,,.000,0,,.162,.167,,0,0,nembhan01
332,Aaron Nesmith,SF,24,IND,24,589,.548,15.0,,.468,.266,.154,.043,.005,.532,,.636,.740,.517,.500,.000,.470,,.607,1.000,,.043,7,,.450,.578,,0,0,nesmiaa01
333,Georges Niang,PF,30,CLE,28,625,.399,17.7,,.399,.115,.212,.063,.010,.601,,.494,.667,.409,.538,.000,.336,,.732,.952,,.000,0,,.304,.237,,0,0,niangge01
334,Daishen Nix,PG,21,MIN,6,21,.375,16.6,,.375,.125,.250,.000,.000,.625,,.333,1.000,.000,,,.400,,.000,.500,,.125,1,,.400,.000,,0,0,nixda01
335,Zeke Nnaji,PF,23,DEN,23,247,.500,5.9,,.833,.621,.197,.015,.000,.167,,.527,.585,.385,.000,,.364,,.552,1.000,,.152,9,,.273,.333,,0,0,nnajize01
336,Jaylen Nowell,SG,24,MEM,9,156,.400,17.3,,.582,.036,.255,.164,.127,.418,,.563,.500,.429,.667,.714,.174,,.444,1.000,,.000,0,,.174,.250,,1,0,nowelja01
337,Markquis Nowell,SG,24,TOR,1,4,.000,9.5,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,nowelma01
338,Jusuf Nurkić,C,29,PHO,27,769,.464,9.0,,.755,.448,.253,.031,.023,.245,,.528,.581,.470,.500,.167,.266,,.577,1.000,,.084,18,,.094,.167,,0,0,nurkiju01
339,Jordan Nwora,SF,25,IND,10,118,.482,13.4,,.571,.339,.179,.018,.036,.429,,.594,.684,.500,.000,.500,.333,,.684,1.000,,.054,3,,.292,.286,,0,0,nworajo01
340,Royce O'Neale,SF,30,BRK,26,719,.377,23.2,,.158,.109,.027,.022,.000,.842,,.345,.350,.200,.500,,.383,,.700,.881,,.011,1,,.136,.429,,3,0,onealro01
341,Chuma Okeke,SF,25,ORL,13,61,.389,18.7,,.333,.111,.222,.000,.000,.667,,.500,1.000,.250,,,.333,,1.000,.750,,.000,0,,.083,1.000,,0,0,okekech01
342,Josh Okogie,SG,25,PHO,23,491,.417,13.1,,.528,.324,.176,.028,.000,.472,,.544,.657,.368,.333,,.275,,.645,1.000,,.065,6,,.627,.250,,0,0,okogijo01
343,Onyeka Okongwu,C,23,ATL,27,663,.586,7.7,,.781,.503,.260,.012,.006,.219,,.667,.729,.568,.000,1.000,.297,,.750,1.000,,.207,30,,.622,.435,,1,0,okongon01
344,Isaac Okoro,SF,23,CLE,19,466,.476,10.8,,.610,.476,.105,.019,.010,.390,,.531,.540,.545,.000,1.000,.390,,.765,1.000,,.057,5,,.805,.364,,0,0,okorois01
345,Kelly Olynyk,C,32,UTA,26,561,.537,12.6,,.626,.382,.146,.033,.065,.374,,.610,.766,.500,.000,.250,.413,,.426,1.000,,.008,1,,.217,.300,,0,0,olynyke01
346,Eugene Omoruyi,SF,26,WAS,15,86,.595,11.1,,.690,.405,.238,.024,.024,.310,,.690,.765,.700,.000,.000,.385,,.700,1.000,,.071,3,,.077,.000,,0,0,omorueu01
347,Cedi Osman,SF,28,SAS,26,501,.477,16.5,,.466,.188,.188,.063,.028,.534,,.598,.788,.545,.182,.600,.372,,.592,.943,,.000,0,,.149,.500,,0,0,osmande01
348,Kelly Oubre Jr.,SF,28,PHI,16,407,.485,13.4,,.576,.291,.236,.036,.012,.424,,.589,.771,.385,.500,.500,.343,,.625,.792,,.164,23,,.271,.421,,0,0,oubreke01
349,Chris Paul,PG,38,GSW,24,659,.396,19.4,,.540,.011,.096,.241,.193,.460,,.465,1.000,.500,.467,.417,.314,,.170,.704,,.000,0,,.151,.462,,2,0,paulch01
350,Cameron Payne,PG,29,MIL,27,445,.453,17.8,,.438,.109,.182,.102,.044,.562,,.533,.533,.440,.714,.500,.390,,.406,.833,,.000,0,,.234,.278,,0,0,payneca01
351,Gary Payton II,SG,31,GSW,14,242,.479,11.3,,.606,.324,.282,.000,.000,.394,,.581,.652,.500,,,.321,,.800,1.000,,.070,4,,.679,.263,,0,0,paytoga02
352,Filip Petrušev,C,23,TOT,3,10,.500,12.4,,1.000,.000,.000,1.000,.000,.000,,.500,,,.500,,,,1.000,,,.000,0,,,,,0,0,petrufi01
352,Filip Petrušev,C,23,PHI,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,petrufi01
352,Filip Petrušev,C,23,SAC,2,7,.500,12.4,,1.000,.000,.000,1.000,.000,.000,,.500,,,.500,,,,1.000,,,.000,0,,,,,0,0,petrufi01
353,Julian Phillips,SF,20,CHI,16,70,.294,13.2,,.529,.412,.059,.059,.000,.471,,.556,.429,1.000,1.000,,.000,,.800,,,.176,2,,.375,.000,,0,0,phillju01
354,Jalen Pickett,SG,24,DEN,12,77,.476,22.6,,.286,.048,.048,.095,.095,.714,,.667,1.000,.000,.500,1.000,.400,,.500,.667,,.000,0,,.000,,,1,0,pickeja02
355,Mason Plumlee,C,33,LAC,6,102,.632,3.2,,1.000,.526,.474,.000,.000,.000,,.632,.800,.444,,,,,.667,,,.316,5,,,,,0,0,plumlma01
356,Brandin Podziemski,SG,20,GSW,21,451,.456,13.7,,.597,.228,.268,.074,.027,.403,,.494,.647,.450,.182,.500,.400,,.545,.667,,.000,0,,.200,.417,,0,0,podzibr01
357,Jakob Poeltl,C,28,TOR,27,702,.725,3.2,,1.000,.646,.298,.056,.000,.000,,.725,.826,.528,.600,,,,.806,,,.107,17,,,,,0,0,poeltja01
358,Aleksej Pokusevski,PF,22,OKC,7,43,.182,19.7,,.273,.000,.273,.000,.000,.727,,.333,,.333,,,.125,,.000,1.000,,.000,0,,.500,.000,,0,0,pokusal01
359,Jordan Poole,SG,24,WAS,25,734,.416,15.9,,.573,.176,.195,.141,.061,.427,,.484,.712,.425,.340,.348,.325,,.500,.712,,.011,4,,.131,.286,,1,0,poolejo01
360,Craig Porter Jr.,PG,23,CLE,17,249,.511,9.3,,.878,.389,.211,.211,.067,.122,,.532,.657,.474,.316,.667,.364,,.357,.750,,.022,2,,.273,.333,,1,0,portecr01
361,Michael Porter Jr.,SF,25,DEN,29,904,.467,17.5,,.474,.177,.105,.072,.121,.526,,.557,.754,.390,.429,.489,.385,,.748,.949,,.041,14,,.200,.439,,0,0,portemi01
362,Otto Porter Jr.,SF,30,TOR,11,130,.385,19.3,,.269,.154,.038,.077,.000,.731,,.429,.250,1.000,.500,,.368,,1.000,.857,,.038,0,,.421,.500,,0,0,porteot01
363,Bobby Portis,PF,28,MIL,27,646,.513,12.4,,.720,.236,.247,.153,.084,.280,,.571,.800,.456,.548,.304,.364,,.469,1.000,,.033,7,,.403,.452,,0,0,portibo01
364,Kristaps Porziņģis,C,28,BOS,20,604,.529,14.8,,.587,.248,.178,.116,.045,.413,,.655,.833,.628,.500,.182,.350,,.667,.971,,.161,36,,.030,.000,,0,0,porzikr01
365,Micah Potter,PF,25,UTA,2,7,.000,25.8,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,pottemi01
366,Dwight Powell,C,32,DAL,24,355,.711,2.3,,.978,.844,.133,.000,.000,.022,,.705,.789,.167,,,1.000,,.710,1.000,,.244,9,,1.000,1.000,,0,0,poweldw01
367,Norman Powell,SG,30,LAC,27,685,.506,15.8,,.539,.139,.257,.094,.049,.461,,.553,.735,.540,.391,.417,.451,,.644,.961,,.008,1,,.301,.471,,1,0,powelno01
368,Joshua Primo,SG,21,LAC,1,5,.500,13.8,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,1.000,,,.000,0,,.000,,,0,0,primojo01
369,Taurean Prince,PF,29,LAL,26,796,.433,18.0,,.358,.163,.140,.033,.023,.642,,.532,.686,.467,.143,.400,.377,,.878,.942,,.014,3,,.449,.323,,2,0,princta02
370,Payton Pritchard,PG,26,BOS,27,552,.417,20.7,,.331,.104,.092,.049,.086,.669,,.463,.765,.400,.125,.357,.394,,.480,.860,,.000,0,,.239,.462,,2,0,pritcpa01
371,Olivier-Maxence Prosper,PF,21,DAL,17,143,.343,16.2,,.371,.257,.114,.000,.000,.629,,.538,.667,.250,,,.227,,.857,1.000,,.029,1,,.545,.167,,0,0,prospol01
372,Neemias Queta,C,24,BOS,7,105,.484,3.2,,1.000,.484,.516,.000,.000,.000,,.484,.533,.438,,,,,.733,,,.129,4,,,,,0,0,quetane01
373,Immanuel Quickley,SG,24,NYK,26,623,.444,16.8,,.525,.104,.202,.158,.061,.475,,.500,.677,.467,.511,.278,.383,,.346,.685,,.003,1,,.312,.273,,0,0,quickim01
374,Lester Quinones,SG,23,GSW,2,9,.333,17.4,,.333,.167,.167,.000,.000,.667,,.500,1.000,.000,,,.250,,.000,1.000,,.000,0,,.500,.500,,0,0,quinole01
375,Julius Randle,PF,29,NYK,27,953,.464,12.0,,.710,.240,.300,.128,.041,.290,,.534,.672,.490,.419,.400,.293,,.377,.878,,.027,12,,.157,.455,,0,0,randlju01
376,Duop Reath,C,27,POR,17,254,.420,17.2,,.384,.196,.179,.009,.000,.616,,.535,.727,.300,1.000,,.348,,.652,1.000,,.045,5,,.174,.500,,0,0,reathdu01
377,Austin Reaves,SG,25,LAL,28,826,.476,16.4,,.576,.177,.158,.135,.106,.424,,.559,.782,.469,.500,.394,.364,,.340,.542,,.013,4,,.098,.231,,1,0,reaveau01
378,Cam Reddish,SF,24,LAL,23,559,.403,13.7,,.542,.278,.188,.035,.042,.458,,.474,.650,.333,.200,.167,.318,,.622,1.000,,.056,6,,.591,.385,,0,0,reddica01
379,Paul Reed,C,24,PHI,27,371,.578,5.7,,.892,.490,.363,.039,.000,.108,,.604,.720,.459,.500,,.364,,.455,1.000,,.167,15,,.091,1.000,,0,0,reedpa01
380,Naz Reid,C,24,MIN,26,583,.500,14.6,,.515,.248,.240,.023,.004,.485,,.607,.769,.460,.500,.000,.386,,.561,1.000,,.050,13,,.315,.425,,2,0,reidna01
381,Jared Rhoden,SG,24,DET,5,30,.556,16.6,,.556,.000,.222,.333,.000,.444,,.800,,1.000,.667,,.250,,1.000,1.000,,.111,1,,.250,1.000,,0,0,rhodeja01
382,Nick Richards,C,26,CHO,20,422,.708,2.9,,1.000,.697,.247,.045,.011,.000,,.708,.823,.500,.250,.000,,,.587,,,.326,26,,,,,0,0,richani01
383,Josh Richardson,SG,30,MIA,23,637,.443,17.9,,.469,.139,.149,.082,.098,.531,,.560,.667,.552,.500,.474,.340,,.569,1.000,,.036,6,,.214,.318,,1,0,richajo01
384,Duncan Robinson,SF,29,MIA,26,757,.487,18.4,,.342,.178,.131,.029,.004,.658,,.574,.612,.528,.625,.000,.442,,.704,.888,,.004,1,,.254,.522,,0,0,robindu01
385,Jerome Robinson,SG,26,GSW,1,5,.000,4.3,,1.000,.500,.500,.000,.000,.000,,.000,.000,.000,,,,,,,,.000,0,,,,,0,0,robinje01
386,Mitchell Robinson,C,25,NYK,21,613,.592,1.1,,1.000,.918,.082,.000,.000,.000,,.592,.622,.250,,,,,.483,,,.439,37,,,,,0,0,robinmi01
387,Orlando Robinson,C,23,MIA,13,210,.525,9.2,,.797,.356,.356,.051,.034,.203,,.511,.667,.476,.000,.000,.583,,.667,1.000,,.102,4,,.167,1.000,,0,0,robinor01
388,Jeremiah Robinson-Earl,PF,23,NOP,11,111,.516,12.1,,.645,.323,.226,.065,.032,.355,,.500,.400,.571,1.000,.000,.545,,.900,1.000,,.097,3,,.364,.750,,0,0,robinje02
389,David Roddy,PF,22,MEM,26,619,.406,13.6,,.554,.297,.188,.050,.020,.446,,.500,.683,.316,.300,.000,.289,,.518,1.000,,.040,7,,.378,.412,,0,0,roddyda01
390,Ryan Rollins,PG,21,WAS,8,49,.500,8.3,,.889,.389,.278,.222,.000,.111,,.500,.857,.200,.250,,.500,,.000,.000,,.000,0,,.000,,,0,0,rolliry01
391,Derrick Rose,PG,35,MEM,15,284,.438,12.0,,.736,.281,.248,.132,.074,.264,,.472,.647,.200,.375,.889,.344,,.286,.818,,.000,0,,.313,.300,,0,0,rosede01
392,Terry Rozier,SG,29,CHO,17,606,.464,14.7,,.612,.202,.230,.101,.079,.388,,.531,.609,.521,.531,.360,.358,,.262,.636,,.003,1,,.236,.276,,2,0,roziete01
393,Rayan Rupert,SG,19,POR,7,31,.083,17.3,,.500,.000,.333,.167,.000,.500,,.000,,.000,.000,,.167,,,1.000,,.000,0,,.167,.000,,0,0,ruperra01
394,D'Angelo Russell,PG,27,LAL,27,808,.467,15.8,,.571,.161,.196,.125,.089,.429,,.531,.815,.394,.500,.367,.382,,.324,.727,,.003,1,,.139,.350,,1,0,russeda01
395,Matt Ryan,SF,26,NOP,13,298,.458,22.6,,.181,.024,.048,.060,.048,.819,,.400,.500,.500,.400,.250,.471,,1.000,.906,,.000,0,,.279,.526,,0,0,ryanma01
396,Domantas Sabonis,C,27,SAC,26,899,.574,6.9,,.899,.383,.402,.077,.037,.101,,.594,.680,.550,.440,.500,.394,,.580,.923,,.080,22,,.091,.000,,0,0,sabondo01
397,Luka Šamanić,PF,24,UTA,12,81,.439,12.7,,.561,.341,.195,.024,.000,.439,,.565,.786,.125,1.000,,.278,,.846,1.000,,.073,3,,.500,.444,,0,0,samanlu01
398,Jermaine Samuels,SF,25,HOU,5,29,.500,13.1,,.500,.000,.500,.000,.000,.500,,1.000,,1.000,,,.000,,1.000,,,.000,0,,1.000,.000,,0,0,samueje01
399,Gui Santos,PF,21,GSW,2,12,.500,9.2,,.750,.250,.500,.000,.000,.250,,.667,.000,1.000,,,.000,,.500,,,.000,0,,.000,,,0,0,santogu01
400,Dario Šarić,C,29,GSW,27,563,.467,16.7,,.467,.143,.243,.048,.033,.533,,.531,.800,.451,.400,.143,.411,,.654,1.000,,.000,0,,.080,.333,,0,0,saricda01
401,Olivier Sarr,C,24,OKC,6,61,.545,12.3,,.545,.455,.091,.000,.000,.455,,.667,.800,.000,,,.400,,1.000,1.000,,.182,2,,.400,1.000,,0,0,sarrol01
