,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
63,Bruce Brown,SG,27,IND,26,800,.460,13.5,,.643,.194,.254,.155,.040,.357,,.549,.735,.469,.462,.500,.300,,.528,.889,,.024,6,,.444,.350,,1,0,brownbr01
64,Charlie Brown Jr.,SG,26,NYK,1,2,.000,22.7,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0,brownch02
65,Greg Brown III,PF,22,DAL,3,11,1.000,1.6,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,.500,1,,,,,0,0,browngr01
66,Jaylen Brown,SF,27,BOS,26,884,.478,13.7,,.652,.228,.236,.116,.072,.348,,.556,.736,.439,.554,.371,.333,,.429,.679,,.091,37,,.137,.348,,0,0,brownja02
67,Kobe Brown,PF,24,LAC,17,164,.375,18.2,,.350,.225,.050,.050,.025,.650,,.500,.667,.000,.000,1.000,.308,,.714,1.000,,.050,2,,.385,.200,,0,0,brownko01
68,Moses Brown,C,24,POR,5,35,.500,3.1,,1.000,.417,.583,.000,.000,.000,,.500,.400,.571,,,,,.667,,,.333,2,,,,,0,0,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,334,.462,19.6,,.312,.151,.075,.043,.043,.688,,.621,.786,.286,.500,.750,.391,,.556,.920,,.000,0,,.359,.435,,1,0,browntr01
70,Jalen Brunson,PG,27,NYK,27,958,.472,15.6,,.652,.106,.220,.195,.130,.348,,.480,.611,.455,.434,.485,.458,,.277,.593,,.000,0,,.107,.526,,0,0,brunsja01
71,Thomas Bryant,C,26,MIA,18,223,.556,5.7,,.958,.486,.319,.083,.069,.042,,.580,.743,.522,.333,.000,.000,,.675,,,.292,19,,.000,,,0,0,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,4,.000,16.4,,.667,.000,.333,.333,.000,.333,,.000,,.000,.000,,.000,,,,,.000,0,,.000,,,0,0,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,93,.350,23.1,,.150,.050,.000,.000,.100,.850,,.333,1.000,,,.000,.353,,1.000,.833,,.000,0,,.471,.500,,0,0,bullore01
74,Alec Burks,SG,32,DET,20,359,.331,18.6,,.408,.108,.134,.096,.070,.592,,.313,.529,.190,.333,.182,.344,,.500,.875,,.000,0,,.290,.296,,0,0,burksal01
75,Jared Butler,SG,23,WAS,13,103,.500,15.4,,.526,.289,.237,.000,.000,.474,,.650,.909,.333,,,.333,,.462,.833,,.053,2,,.056,1.000,,1,0,butleja02
76,Jimmy Butler,PF,34,MIA,23,783,.462,9.9,,.841,.246,.354,.177,.063,.159,,.479,.659,.407,.373,.476,.377,,.455,.800,,.048,14,,.453,.458,,0,0,butleji01
77,Jamal Cain,PF,24,MIA,8,113,.448,14.8,,.483,.241,.138,.069,.034,.517,,.643,.571,.500,1.000,1.000,.267,,.778,1.000,,.103,3,,.533,.250,,0,0,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,880,.465,16.5,,.559,.188,.080,.108,.183,.441,,.504,.550,.529,.391,.513,.415,,.767,.974,,.005,1,,.383,.528,,0,0,caldwke01
79,Toumani Camara,PF,23,POR,26,658,.412,13.3,,.535,.312,.200,.024,.000,.465,,.505,.642,.294,.500,,.304,,.478,1.000,,.071,11,,.392,.290,,0,0,camarto01
80,Clint Capela,C,29,ATL,26,670,.583,2.2,,1.000,.735,.256,.004,.004,.000,,.583,.616,.509,.000,.000,,,.631,,,.247,51,,,,,0,0,capelca01
81,Jevon Carter,PG,28,CHI,29,414,.377,20.6,,.352,.038,.082,.138,.094,.648,,.429,.333,.462,.455,.400,.350,,.500,.833,,.000,0,,.243,.440,,0,0,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,170,.408,11.9,,.633,.388,.163,.061,.020,.367,,.452,.737,.000,.000,.000,.333,,.714,1.000,,.245,11,,.333,.500,,0,0,cartewe01
83,Alex Caruso,SG,29,CHI,23,533,.549,15.4,,.451,.292,.111,.021,.028,.549,,.646,.786,.375,.333,.500,.468,,.500,.892,,.049,6,,.380,.367,,0,0,carusal01
84,Colin Castleton,C,23,LAL,4,28,.625,2.2,,1.000,.875,.125,.000,.000,.000,,.625,.714,.000,,,,,.800,,,.250,2,,,,,0,0,castlco01
85,Malcolm Cazalon,SG,22,DET,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,cazalma01
86,Julian Champagnie,SF,22,SAS,19,244,.384,20.2,,.256,.116,.093,.023,.023,.744,,.364,.600,.125,.000,.500,.391,,.875,.920,,.023,2,,.297,.421,,0,0,champju02
87,Max Christie,SG,20,LAL,22,362,.387,16.0,,.538,.161,.151,.183,.043,.462,,.460,.533,.214,.588,.500,.302,,.609,1.000,,.075,6,,.372,.375,,0,0,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,586,.399,14.1,,.635,.142,.337,.115,.042,.365,,.459,.512,.464,.485,.167,.295,,.274,.581,,.014,4,,.124,.462,,1,0,clarkjo01
90,Nic Claxton,C,24,BRK,18,487,.646,3.3,,.993,.583,.382,.014,.014,.007,,.643,.762,.473,.500,.500,1.000,,.652,1.000,,.243,29,,1.000,1.000,,0,0,claxtni01
91,Noah Clowney,PF,19,BRK,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,clownno01
92,Amir Coffey,SF,26,LAC,15,171,.395,17.0,,.395,.184,.105,.105,.000,.605,,.533,.714,.250,.500,,.304,,.750,1.000,,.000,0,,.783,.333,,1,0,coffeam01
93,John Collins,PF,26,UTA,24,726,.485,11.8,,.668,.272,.265,.063,.067,.332,,.525,.726,.437,.412,.167,.404,,.638,1.000,,.082,20,,.562,.460,,0,0,collijo01
94,Zach Collins,C,26,SAS,26,701,.481,13.2,,.629,.223,.280,.091,.034,.371,,.584,.763,.486,.625,.111,.306,,.649,1.000,,.038,10,,.082,.250,,0,0,colliza01
95,Mike Conley,PG,36,MIN,26,765,.458,18.9,,.379,.079,.150,.103,.047,.621,,.494,.647,.531,.409,.300,.436,,.375,.793,,.000,0,,.271,.556,,0,0,conlemi01
96,Pat Connaughton,SF,31,MIL,21,464,.413,17.7,,.337,.202,.125,.000,.010,.663,,.571,.667,.385,,1.000,.333,,.550,.957,,.010,0,,.406,.429,,0,0,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,673,.521,14.0,,.539,.293,.180,.030,.036,.461,,.611,.776,.433,.400,.333,.416,,.582,.938,,.162,24,,.429,.515,,0,0,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,432,.438,16.8,,.416,.225,.157,.022,.011,.584,,.541,.550,.571,.500,.000,.365,,.800,1.000,,.034,3,,.288,.467,,0,0,covinro01
98,Robert Covington,PF,33,LAC,3,69,.333,22.2,,.111,.111,.000,.000,.000,.889,,1.000,1.000,,,,.250,,1.000,1.000,,.111,1,,.375,.333,,0,0,covinro01
98,Robert Covington,SF,33,PHI,22,363,.450,16.1,,.450,.238,.175,.025,.013,.550,,.528,.526,.571,.500,.000,.386,,.789,1.000,,.025,2,,.273,.500,,0,0,covinro01
99,Torrey Craig,SF,33,CHI,27,572,.424,15.6,,.453,.245,.151,.022,.036,.547,,.476,.618,.381,.333,.000,.382,,.533,.931,,.029,3,,.461,.343,,0,0,craigto01
100,Jae Crowder,PF,33,MIL,9,240,.532,19.8,,.340,.128,.085,.021,.106,.660,,.563,.500,.750,.000,.600,.516,,.778,.938,,.000,0,,.387,.500,,0,0,crowdja01
101,Cade Cunningham,PG,22,DET,27,935,.434,13.7,,.700,.195,.243,.152,.111,.300,,.481,.640,.368,.513,.404,.325,,.272,.740,,.019,9,,.097,.333,,2,0,cunnica01
102,Seth Curry,SG,33,DAL,21,251,.398,20.7,,.434,.036,.072,.048,.277,.566,,.389,.667,.333,.000,.435,.404,,.357,.895,,.000,0,,.277,.462,,0,0,curryse01
103,Stephen Curry,PG,35,GSW,25,847,.464,20.4,,.383,.072,.155,.061,.095,.617,,.541,.647,.479,.552,.556,.416,,.327,.612,,.000,0,,.072,.476,,2,0,curryst01
104,Dyson Daniels,PG,20,NOP,28,666,.398,14.8,,.561,.199,.257,.099,.006,.439,,.510,.559,.523,.412,.000,.253,,.510,1.000,,.041,4,,.307,.348,,3,0,daniedy01
105,Anthony Davis,C,30,LAL,26,919,.546,6.7,,.951,.419,.322,.127,.083,.049,,.557,.702,.511,.382,.278,.333,,.694,.857,,.153,59,,.095,.000,,0,0,davisan02
106,Johnny Davis,SG,21,WAS,14,128,.475,7.8,,.925,.325,.425,.150,.025,.075,,.486,.692,.471,.167,.000,.333,,.444,1.000,,.025,1,,.333,.000,,1,0,davisjo06
107,Dexter Dennis,SG,24,DAL,2,7,.333,15.0,,.500,.333,.000,.167,.000,.500,,.667,1.000,,.000,,.000,,.500,,,.000,0,,.000,,,0,0,dennide01
108,DeMar DeRozan,SF,34,CHI,27,982,.451,13.4,,.849,.179,.166,.229,.274,.151,,.468,.723,.455,.434,.339,.357,,.283,1.000,,.026,11,,.329,.391,,0,0,derozde01
109,Moussa Diabaté,C,22,LAC,9,55,.500,3.3,,1.000,.556,.389,.056,.000,.000,,.500,.700,.286,.000,,,,.556,,,.333,4,,,,,0,0,diabamo01
110,Gradey Dick,SG,20,TOR,17,227,.284,19.1,,.343,.134,.104,.060,.045,.657,,.348,.444,.286,.000,.667,.250,,.750,1.000,,.030,1,,.273,.250,,0,0,dickgr01
111,Ousmane Dieng,PF,20,OKC,16,183,.426,18.7,,.315,.204,.074,.019,.019,.685,,.647,.909,.000,1.000,.000,.324,,1.000,1.000,,.130,7,,.270,.500,,0,0,diengou01
112,Spencer Dinwiddie,PG,30,BRK,26,827,.404,17.0,,.452,.147,.212,.064,.029,.548,,.504,.587,.515,.400,.222,.322,,.169,.673,,.013,2,,.175,.400,,2,0,dinwisp01
113,Donte DiVincenzo,SG,27,NYK,27,556,.455,19.4,,.278,.192,.061,.015,.010,.722,,.473,.500,.417,.333,.500,.448,,.731,.984,,.020,3,,.287,.610,,0,0,divindo01
114,Luka Dončić,PG,24,DAL,26,962,.485,16.9,,.558,.105,.201,.184,.068,.442,,.571,.825,.612,.432,.439,.376,,.125,.290,,.000,0,,.023,.167,,1,0,doncilu01
115,Luguentz Dort,SF,24,OKC,24,671,.446,15.8,,.457,.274,.108,.032,.043,.543,,.494,.588,.400,.500,.125,.406,,.571,.976,,.038,7,,.327,.364,,0,0,dortlu01
116,Ayo Dosunmu,SG,24,CHI,27,564,.484,15.0,,.529,.261,.124,.065,.078,.471,,.580,.675,.421,.600,.500,.375,,.511,.926,,.020,3,,.556,.375,,1,0,dosunay01
117,Andre Drummond,C,30,CHI,29,385,.515,3.0,,.993,.713,.250,.029,.000,.007,,.519,.567,.353,.750,,.000,,.571,,,.176,20,,.000,,,1,0,drumman01
118,Chris Duarte,SF,26,SAC,23,285,.363,17.8,,.413,.163,.100,.075,.075,.588,,.455,.769,.250,.500,.000,.298,,.800,.857,,.025,2,,.426,.300,,0,0,duartch01
119,Kris Dunn,PG,29,UTA,20,279,.494,11.4,,.711,.169,.446,.084,.012,.289,,.525,.643,.486,.571,.000,.417,,.323,1.000,,.036,3,,.458,.455,,0,0,dunnkr01
120,Kevin Durant,PF,35,PHO,23,844,.518,14.0,,.777,.144,.175,.282,.175,.223,,.532,.884,.536,.474,.333,.467,,.500,.780,,.065,31,,.140,.600,,0,0,duranke01
121,Jalen Duren,C,20,DET,14,404,.630,3.5,,.984,.591,.354,.024,.016,.016,,.640,.773,.489,.000,.000,.000,,.750,,,.331,41,,.000,,,0,0,durenja01
122,Tari Eason,PF,22,HOU,17,357,.473,10.3,,.725,.427,.176,.061,.061,.275,,.495,.571,.348,.375,.500,.417,,.532,1.000,,.122,14,,.306,.364,,0,0,easonta01
123,Anthony Edwards,SG,22,MIN,23,782,.451,14.6,,.668,.172,.208,.156,.133,.332,,.486,.711,.380,.435,.424,.381,,.326,.536,,.056,18,,.088,.385,,1,0,edwaran01
124,Kessler Edwards,SF,23,SAC,21,115,.419,17.0,,.387,.226,.129,.000,.032,.613,,.500,.714,.250,,.000,.368,,.667,1.000,,.097,2,,.421,.250,,0,0,edwarke02
